 Length, Height, Width, Sum, Omnivariance, Eigenentropy, Anisotropy, Class
1.701,1.23,1.697,0.4932,0.1414,0.8199,-2.868,1
1.697,1.17,2.355,0.594,0.1583,0.8432,-4.393,1
1.675,1.09,1.394,0.4715,0.1307,0.7898,-3.402,1
1.647,1.31,1.81,0.5154,0.1455,0.8291,-3.24,1
2.416,1.09,1.911,0.573,0.1554,0.8425,-4.048,1
1.799,1.09,1.767,0.4912,0.1348,0.8019,-3.785,1
1.452,1.22,1.71,0.492,0.1418,0.8211,-2.759,1
2.166,1.08,1.591,0.5625,0.1497,0.8264,-4.323,1
2.446,1.24,1.739,0.6233,0.1705,0.8654,-3.769,1
1.714,1.09,2.031,0.5621,0.1505,0.8294,-4.227,1
1.582,1.09,2.528,0.599,0.1602,0.8439,-4.19,1
2.496,1.22,1.696,0.6152,0.1661,0.8568,-4.074,1
1.702,1.12,1.609,0.4741,0.1317,0.7925,-3.357,1
1.845,1.1,1.647,0.4514,0.121,0.765,-4.185,1
1.971,1.09,1.566,0.4657,0.1297,0.7877,-3.316,1
2.512,1.22,1.73,0.6003,0.1637,0.8556,-3.859,1
1.906,1.09,1.474,0.4876,0.1358,0.8054,-3.47,1
1.918,1.09,1.629,0.4519,0.123,0.77,-3.79,1
2.406,1.12,1.601,0.5455,0.1475,0.8242,-3.947,1
2.484,1.09,1.896,0.575,0.1553,0.8417,-4.159,1
2.489,1.24,1.717,0.6026,0.1644,0.8576,-3.896,1
2.115,1.09,1.798,0.5942,0.1575,0.8378,-4.398,1
1.908,1.09,1.64,0.4479,0.1189,0.7598,-4.436,1
2.489,1.09,1.481,0.579,0.1544,0.8344,-4.269,1
2.491,1.24,1.68,0.6061,0.1681,0.8675,-3.565,1
1.71,1.09,1.798,0.4871,0.1322,0.7962,-4.049,1
1.986,1.08,1.549,0.4631,0.1275,0.7828,-3.618,1
2.27,1.09,1.566,0.565,0.1503,0.8265,-4.314,1
1.705,1.08,1.53,0.4789,0.1321,0.7949,-3.619,1
2.531,1.09,1.621,0.6095,0.1623,0.8457,-4.281,1
2.502,1.22,1.697,0.6031,0.1649,0.859,-3.852,1
2.383,1.1,1.675,0.6015,0.1606,0.8461,-4.322,1
2.471,1.23,1.731,0.5836,0.1642,0.8639,-3.267,1
1.846,1.09,1.649,0.465,0.1283,0.7841,-3.515,1
2.336,1.1,1.565,0.5477,0.1503,0.8317,-3.641,1
2.494,1.24,1.71,0.6092,0.1671,0.8615,-3.719,1
1.408,1.21,1.914,0.5026,0.1425,0.8206,-3.045,1
1.526,1.31,1.78,0.509,0.1428,0.8221,-3.328,1
1.58,1.09,1.617,0.4742,0.131,0.7905,-3.471,1
2.27,1.24,1.62,0.6041,0.1677,0.8661,-3.518,1
2.494,1.09,1.848,0.577,0.1534,0.8364,-4.533,1
1.809,1.09,1.608,0.4677,0.1288,0.7847,-3.517,1
1.915,1.08,1.653,0.4587,0.1252,0.7771,-3.825,1
2.489,1.11,1.629,0.5998,0.1606,0.8471,-4.267,1
2.542,1.09,1.537,0.5647,0.1521,0.8328,-4.07,1
1.886,1.22,1.837,0.495,0.1391,0.8144,-3.321,1
1.803,1.12,1.6,0.4741,0.1328,0.7955,-3.161,1
2.316,1.1,1.662,0.5902,0.1598,0.848,-4.026,1
2.015,1.21,1.732,0.5068,0.1437,0.8239,-3.075,1
1.716,1.22,1.729,0.492,0.1394,0.8142,-3.1,1
2.391,1.22,1.684,0.6028,0.1669,0.8641,-3.562,1
1.67,1.31,1.985,0.5081,0.1431,0.823,-3.263,1
1.682,1.18,1.815,0.4987,0.1363,0.8054,-3.872,1
1.62,1.21,1.95,0.4998,0.1424,0.8216,-2.98,1
1.631,1.22,1.526,0.5019,0.1438,0.8239,-2.805,1
1.515,1.22,1.67,0.503,0.1424,0.8194,-3.008,1
1.707,1.09,2.359,0.5295,0.1271,0.7533,-5.288,1
2.446,1.22,1.677,0.6099,0.1658,0.859,-3.974,1
1.486,1.21,1.849,0.4936,0.1397,0.8148,-3.121,1
1.881,1.09,1.596,0.4659,0.1288,0.7845,-3.41,1
1.374,1.12,1.691,0.3885,0.09876,0.6907,-3.907,1
0.8681,1.1,1.813,0.361,0.08853,0.6587,-4.997,1
1.042,1.09,1.7,0.3369,0.08177,0.6365,-5.484,1
1.222,1.08,1.245,0.3279,0.07787,0.6258,-6.502,1
2.123,1.08,0.9204,0.4332,0.09124,0.6636,-8.936,1
2.116,1.07,0.6053,0.4117,0.0733,0.6188,-17.14,1
2.083,0.92,0.5942,0.4061,0.06103,0.599,-32.12,1
2.071,0.9,0.3644,0.3606,0.04982,0.5722,-43.78,1
2.178,1.41,2.234,0.8018,0.2082,0.8718,-4.619,1
2.807,1.42,2.296,0.8772,0.2344,0.9078,-4.415,1
2.416,1.48,2.448,0.8823,0.2443,0.942,-3.767,1
2.431,1.49,2.396,0.9157,0.2611,0.9668,-3.138,1
1.982,1.49,1.722,0.6413,0.1931,0.9297,-2.107,1
2.23,1.48,2.456,0.8061,0.2329,0.9654,-2.776,1
2.493,1.48,2.009,0.7452,0.2114,0.9404,-3.187,1
2.335,1.47,2.006,0.6928,0.1869,0.888,-4.273,1
1.38,1.46,2.253,0.5863,0.127,0.7269,-7.343,1
1.323,1.45,2.1,0.5821,0.1362,0.7634,-6.14,1
1.824,1.46,2.226,0.6358,0.1489,0.7722,-5.084,1
1.82,1.47,2.229,0.6562,0.156,0.7841,-4.691,1
1.463,1.61,2.417,0.6791,0.1525,0.7593,-6.306,1
1.627,1.61,2.375,0.7233,0.1604,0.7559,-6.536,1
2.221,1.44,2.109,0.7422,0.1613,0.743,-6.452,1
2.673,1.45,1.731,0.8304,0.1831,0.7476,-6.321,1
2.721,1.43,1.706,0.8765,0.1799,0.6948,-7.706,1
2.874,1.59,1.72,0.9921,0.2012,0.6544,-7.902,1
2.85,1.42,1.703,1.058,0.2055,0.5967,-8.439,1
2.497,1.41,2.179,1.083,0.195,0.5345,-10.98,1
3.013,1.42,1.782,1.209,0.2116,0.4409,-11.61,1
2.975,1.41,2.167,1.389,0.2221,0.237,-13.64,1
1.427,1.21,1.704,0.4865,0.1382,0.8122,-3.078,1
2.102,1.22,1.775,0.6124,0.1656,0.8565,-4.039,1
1.629,1.09,1.972,0.4714,0.1293,0.7855,-3.602,1
1.545,1.09,2.261,0.5338,0.1254,0.7457,-5.711,1
2.446,1.08,1.715,0.5686,0.1544,0.8404,-4.005,1
1.266,1.09,1.745,0.4619,0.1277,0.7831,-3.512,1
1.842,1.09,1.649,0.4514,0.1216,0.7675,-4.103,1
1.967,1.09,1.739,0.4778,0.1304,0.7924,-3.95,1
2.039,1.21,1.713,0.5051,0.1419,0.8204,-3.31,1
2.409,1.08,1.692,0.5907,0.1585,0.8442,-4.237,1
2.396,1.22,1.711,0.5807,0.1612,0.8581,-3.604,1
1.956,1.23,1.925,0.5817,0.1619,0.858,-3.496,1
2.229,1.23,1.834,0.6018,0.1652,0.8607,-3.783,1
2.371,1.23,1.688,0.6078,0.1671,0.862,-3.683,1
1.756,1.22,1.668,0.5093,0.1435,0.8225,-3.166,1
1.718,1.24,2.355,0.6057,0.1662,0.8619,-3.779,1
2.262,1.22,1.672,0.5832,0.1601,0.853,-3.803,1
1.977,1.09,1.576,0.4461,0.1211,0.766,-3.912,1
1.929,1.08,1.602,0.4647,0.1299,0.7883,-3.231,1
2.498,1.24,1.701,0.6148,0.1676,0.8623,-3.906,1
2.289,1.1,1.572,0.5633,0.1513,0.8299,-4.081,1
1.649,1.22,2.464,0.6148,0.1667,0.8604,-4.043,1
1.453,1.09,1.761,0.4849,0.1313,0.7947,-4.133,1
1.594,1.09,2.539,0.5989,0.1614,0.8469,-3.991,1
2.393,1.18,1.7,0.59,0.1598,0.8475,-3.989,1
