 Length, Height, Width, Linearity, Verticality, Class
1.58,1.09,1.617,-0.8512,0.9513,1
2.27,1.24,1.62,-1.06,0.9018,1
2.494,1.09,1.848,-1.503,0.9135,1
1.809,1.09,1.608,-0.8489,0.9118,1
1.915,1.08,1.653,-1.092,0.95,1
2.489,1.11,1.629,-1.264,0.8989,1
2.542,1.09,1.537,-1.116,0.8739,1
1.886,1.22,1.837,-1.095,0.951,1
1.803,1.12,1.6,-0.7294,0.898,1
2.316,1.1,1.662,-1.194,0.8962,1
2.015,1.21,1.732,-0.8894,0.9082,1
1.716,1.22,1.729,-0.9094,0.9281,1
2.391,1.22,1.684,-1.061,0.9007,1
1.67,1.31,1.985,-1.04,0.8915,1
1.682,1.18,1.815,-1.231,0.8747,1
1.62,1.21,1.95,-0.8572,0.9364,1
1.631,1.22,1.526,-0.6991,0.9008,1
1.515,1.22,1.67,-0.7387,0.9123,1
1.707,1.09,2.359,-0.4839,0.9434,1
2.446,1.22,1.677,-1.23,0.9212,1
1.486,1.21,1.849,-0.9117,0.9344,1
1.881,1.09,1.596,-0.7844,0.9173,1
1.374,1.12,1.691,-0.2039,0.9705,1
0.8681,1.1,1.813,-0.5188,0.9806,1
1.042,1.09,1.7,-0.7172,0.9766,1
1.222,1.08,1.245,-1.17,0.9632,1
2.123,1.08,0.9204,-1.068,0.9088,1
2.116,1.07,0.6053,-2.714,0.9183,1
2.083,0.92,0.5942,-6.269,0.9378,1
2.071,0.9,0.3644,-9.504,0.9348,1
2.178,1.41,2.234,-0.9798,0.8911,1
2.807,1.42,2.296,-1.477,0.9133,1
2.416,1.48,2.448,-1.802,0.8471,1
2.431,1.49,2.396,-1.764,0.872,1
1.982,1.49,1.722,-0.9891,0.8037,1
2.23,1.48,2.456,-1.987,0.8169,1
2.493,1.48,2.009,-2.068,0.7405,1
2.335,1.47,2.006,-1.593,0.6982,1
1.38,1.46,2.253,-0.5927,0.7495,1
1.323,1.45,2.1,-0.7189,0.7383,1
1.824,1.46,2.226,-0.1989,0.7766,1
1.82,1.47,2.229,-0.1286,0.7941,1
1.463,1.61,2.417,-0.4314,0.7756,1
1.627,1.61,2.375,-0.4342,0.8109,1
2.221,1.44,2.109,-0.2646,0.8121,1
2.673,1.45,1.731,-0.3058,0.8471,1
2.721,1.43,1.706,-0.3389,0.8479,1
2.874,1.59,1.72,-0.3257,0.8377,1
2.85,1.42,1.703,-0.2372,0.8757,1
2.497,1.41,2.179,-0.4741,0.8685,1
3.013,1.42,1.782,-0.4525,0.8899,1
2.975,1.41,2.167,-0.3763,0.9177,1
1.427,1.21,1.704,-0.9499,0.9263,1
2.102,1.22,1.775,-1.178,0.8943,1
1.629,1.09,1.972,-0.8672,0.9723,1
1.545,1.09,2.261,-0.5162,0.9309,1
2.446,1.08,1.715,-1.25,0.9263,1
1.266,1.09,1.745,-0.9286,0.954,1
1.842,1.09,1.649,-1.178,0.9368,1
1.967,1.09,1.739,-1.333,0.9228,1
2.039,1.21,1.713,-1.063,0.9127,1
2.409,1.08,1.692,-1.267,0.9214,1
2.396,1.22,1.711,-1.261,0.9195,1
1.956,1.23,1.925,-1.11,0.9117,1
2.229,1.23,1.834,-1.203,0.9046,1
2.371,1.23,1.688,-1.054,0.8935,1
1.756,1.22,1.668,-0.8811,0.9174,1
1.718,1.24,2.355,-1.182,0.8977,1
2.262,1.22,1.672,-1.246,0.9289,1
1.977,1.09,1.576,-1.086,0.9465,1
1.929,1.08,1.602,-0.7686,0.9451,1
2.498,1.24,1.701,-1.203,0.8951,1
