 Length, Height, Width, Linearity, Verticality, Class
1.912,1.17,1.561,-0.8164,0.91,1
2.371,1.22,1.718,-1.115,0.9069,1
2.349,1.21,1.702,-1.206,0.8997,1
1.59,1.08,2.377,-1.157,0.9206,1
2.33,1.08,1.727,-1.218,0.9136,1
2.298,1.09,1.575,-1.051,0.8792,1
1.823,1.09,1.612,-1.043,0.9295,1
1.827,1.09,1.636,-0.8367,0.9542,1
2.46,1.22,1.727,-1.227,0.902,1
2.483,1.23,1.698,-1.025,0.9239,1
1.955,1.21,1.744,-0.9634,0.9396,1
1.754,1.09,1.593,-0.7619,0.9281,1
2.485,1.23,1.717,-1.108,0.9175,1
1.528,1.09,1.961,-1.197,0.9163,1
1.783,1.12,1.6,-0.7603,0.8887,1
2.476,1.24,1.691,-1.025,0.885,1
1.693,1.23,1.556,-0.8732,0.9364,1
2.496,1.23,1.723,-1.229,0.9271,1
2.432,1.22,1.594,-1.094,0.8892,1
2.082,1.08,1.789,-1.274,0.9094,1
1.761,1.22,2.436,-1.208,0.8867,1
1.659,1.23,2.343,-1.279,0.8884,1
2.338,1.21,1.703,-1.232,0.9505,1
2.493,1.22,1.698,-1.333,0.9087,1
1.775,1.09,1.809,-1.229,0.9436,1
1.79,1.23,1.726,-0.8235,0.916,1
2.456,1.22,1.751,-1.209,0.8983,1
1.671,1.08,1.372,-0.9317,0.9222,1
1.872,1.09,1.955,-1.123,0.8994,1
1.929,1.09,1.635,-0.8673,0.9358,1
1.938,1.1,2.362,-1.296,0.9108,1
2.46,1.09,1.844,-1.281,0.9105,1
2.402,1.22,1.735,-1.092,0.9152,1
1.686,1.09,1.57,-0.8907,0.9142,1
1.606,1.23,1.707,-0.8895,0.9277,1
2.467,1.18,1.777,-1.259,0.882,1
2.191,1.09,1.625,-1.054,0.9119,1
2.252,1.23,1.711,-1.083,0.9124,1
1.642,1.09,1.608,-0.8543,0.9291,1
1.871,1.07,1.6,-1.049,0.915,1
1.586,1.09,1.889,-0.7276,0.9351,1
1.974,1.08,1.492,-0.7807,0.9335,1
1.411,1.1,1.732,-0.1602,0.9673,1
2.469,1.23,1.719,-1.184,0.8927,1
2.323,1.1,1.493,-0.4653,0.9435,1
2.494,1.09,1.601,-1.065,0.9091,1
1.709,1.23,2.473,-1.113,0.9175,1
2.527,1.23,1.79,-1.139,0.894,1
2.19,1.23,1.863,-1.132,0.8925,1
1.354,1.12,2.489,-0.41,0.9427,1
1.482,1.09,2.33,-0.5328,0.9363,1
1.295,1.09,1.849,-0.7229,0.9274,1
1.628,1.2,1.944,-0.9385,0.938,1
1.369,1.09,1.694,-0.7748,0.9112,1
1.668,1.12,2.357,-0.4089,0.916,1
1.521,1.09,1.417,-0.1026,0.993,1
1.638,1.22,1.945,-0.85,0.9344,1
4.055,1.21,2.224,-1.599,0.9636,1
1.638,1.09,1.421,-0.803,0.9155,1
2.458,1.24,1.646,-1.067,0.9021,1
1.481,1.12,1.986,-0.7198,0.9039,1
1.898,1.23,1.831,-0.9498,0.9292,1
2.458,1.24,1.718,-0.9738,0.8934,1
1.762,1.08,2.278,-0.5099,0.9477,1
1.472,1.08,2.497,-1.067,0.9275,1
1.348,1.09,1.775,-0.7775,0.9214,1
1.635,1.22,1.769,-1.026,0.9222,1
2.462,1.24,1.76,-1.105,0.8926,1
4.298,1.09,1.63,-1.733,0.9538,1
1.993,1.11,1.94,-1.178,0.8907,1
1.771,1.1,1.715,-0.9568,0.9049,1
1.986,1.09,1.536,-1.16,0.9292,1
1.723,1.09,1.592,-0.8708,0.9057,1
1.981,1.11,1.496,-0.7787,0.9065,1
1.752,1.09,2.215,-0.605,0.9541,1
2.477,1.23,1.7,-1.175,0.9027,1
1.349,1.12,1.918,-0.7776,0.8892,1
1.362,1.08,2.503,-0.4848,0.9445,1
1.907,1.1,1.252,-1.073,0.9358,1
1.268,1.08,1.816,-0.8482,0.9219,1
1.861,1.08,2.146,-0.5054,0.9491,1
1.716,1.22,1.695,-0.888,0.9454,1
1.833,1.09,2.494,-1.481,0.9325,1
1.324,1.09,1.798,-0.06885,0.9859,1
1.573,1.09,1.609,-0.7642,0.9183,1
2.494,1.09,1.213,-0.4308,0.9418,1
2.496,1.22,1.754,-1.186,0.9135,1
1.656,1.31,1.981,-1.003,0.8683,1
1.908,1.1,1.83,-1.014,0.9327,1
2.293,1.24,1.674,-1.025,0.8802,1
2.505,1.09,1.856,-1.364,0.9234,1
2.459,1.09,1.593,-0.9733,0.8886,1
1.815,1.09,1.8,-1.161,0.936,1
2.37,1.24,1.693,-1.095,0.8928,1
2.393,1.21,1.713,-1.192,0.9231,1
1.884,1.09,1.586,-0.9182,0.9185,1
2.166,1.23,1.693,-1.213,0.899,1
1.399,1.09,1.926,-0.948,0.9467,1
1.887,1.08,1.569,-0.9472,0.9542,1
2.454,1.22,1.663,-1.099,0.8993,1
1.528,1.1,1.957,-0.9632,0.9401,1
2.099,1.09,1.842,-0.6845,0.9435,1
1.364,1.08,1.791,-0.2393,0.9971,1
1.825,1.24,2.055,-1.106,0.8855,1
1.769,1.09,2.035,-1.026,0.9085,1
1.891,1.24,2.29,-1.089,0.8822,1
1.562,1.08,1.619,-0.9097,0.9324,1
1.879,1.08,1.576,-0.8704,0.9318,1
2.45,1.09,1.911,-1.437,0.9033,1
2.521,1.23,1.798,-1.088,0.9047,1
2.372,1.09,1.503,-1.097,0.885,1
1.892,1.08,1.578,-0.8625,0.9353,1
2.523,1.23,1.73,-1.079,0.9027,1
1.743,1.22,1.437,-0.8857,0.9294,1
1.792,1.1,1.843,-1.06,0.918,1
2.157,1.09,1.805,-1.294,0.9236,1
1.727,1.22,1.888,-0.8652,0.9244,1
4.242,1.1,1.729,-1.613,0.9662,1
1.768,1.09,1.28,-0.8503,0.9255,1
2.471,1.1,1.866,-1.295,0.8966,1
1.882,1.11,1.272,-1.14,0.9284,1
1.544,1.08,1.598,-0.8396,0.9373,1
2.393,1.11,1.713,-1.038,0.8808,1
2.161,1.09,1.561,-1.1,0.8977,1
2.469,1.08,1.568,-1.102,0.8916,1
1.995,1.09,1.862,-0.9794,0.8796,1
1.744,1.09,2.055,-1.099,0.8741,1
1.82,1.09,1.647,-0.8756,0.9234,1
1.414,1.23,1.744,-0.8343,0.943,1
2.492,1.09,1.61,-1.086,0.9031,1
1.974,1.09,1.714,-1.166,0.9467,1
2.109,1.22,1.817,-1.124,0.8766,1
2.021,1.08,1.404,-0.8351,0.9147,1
1.499,1.31,1.778,-0.8938,0.8891,1
1.957,1.23,1.695,-0.8106,0.9213,1
2.325,1.24,1.701,-1.148,0.8914,1
2.26,1.09,1.651,-1.221,0.8924,1
1.678,1.24,2.495,-1.11,0.8925,1
1.747,1.09,1.615,-0.7329,0.9335,1
1.861,1.22,2.273,-1.218,0.8952,1
2.469,1.23,1.69,-1.149,0.9169,1
1.815,1.12,1.636,-0.8127,0.9041,1
1.865,1.23,1.752,-0.8504,0.9472,1
4.264,1.09,1.584,-1.629,0.9707,1
2.397,1.22,1.721,-1.106,0.8904,1
2.445,1.1,1.887,-1.261,0.9167,1
1.939,1.08,1.918,-1.261,0.9328,1
1.852,1.1,2.052,-1.206,0.9168,1
2.503,1.23,1.717,-1.079,0.8933,1
1.576,1.22,1.668,-0.8957,0.9275,1
1.589,1.1,1.607,-0.6853,0.9252,1
1.966,1.1,1.697,-1.193,0.9128,1
1.875,1.08,1.221,-0.9546,0.9178,1
2.499,1.24,1.728,-0.9815,0.8929,1
1.625,1.09,1.789,-0.8484,0.9311,1
1.593,1.09,2.528,-1.1,0.9156,1
1.899,1.09,1.24,-1.205,0.9378,1
1.98,1.09,0.9551,-0.1033,0.9856,1
2.019,1.08,1.377,-0.8933,0.9054,1
2.238,1.09,1.521,-0.2613,0.8935,1
0.9084,1.09,1.644,-1.062,0.9469,1
0.7402,0.91,1.478,-4.075,0.9923,1
1.568,0.93,1.049,-0.9671,0.7763,1
1.287,1.09,1.438,-0.2057,0.7865,1
0.9883,1.09,1.824,-0.4593,0.7819,1
1.331,1.22,1.691,-0.71,0.8987,1
1.3,1.06,1.846,-1.035,0.9312,1
1.897,1.21,1.33,-0.7351,0.9329,1
1.439,1.21,1.705,-0.9046,0.9203,1
2.246,1.1,1.779,-1.298,0.9034,1
2,1.1,1.953,-1.265,0.9094,1
2.491,1.24,1.676,-0.9983,0.9085,1
1.643,1.08,1.57,-0.8506,0.9348,1
1.966,1.21,1.745,-0.9795,0.9267,1
2.267,1.22,1.676,-1.205,0.9286,1
2.519,1.11,1.702,-0.975,0.8843,1
1.609,1.09,1.588,-1.084,0.9427,1
2.009,1.11,1.508,-0.8182,0.8722,1
1.695,1.22,1.638,-0.8146,0.9221,1
1.938,1.1,1.078,-0.2004,0.9963,1
1.923,1.09,1.415,-0.9659,0.9404,1
1.801,1.09,2.508,-1.229,0.9417,1
1.63,1.12,1.426,-0.7189,0.8972,1
1.637,1.24,2.465,-0.9942,0.8937,1
1.685,1.08,1.601,-0.9608,0.957,1
1.956,1.31,1.752,-0.9949,0.9123,1
2.104,1.22,1.738,-1.105,0.9174,1
2.354,1.08,1.586,-0.9977,0.8973,1
1.962,1.22,1.735,-0.8699,0.937,1
1.584,1.08,2.407,-1.117,0.8979,1
1.751,1.09,1.401,-0.2826,0.9806,1
1.611,1.22,2.399,-0.9786,0.9056,1
1.618,1.09,1.465,-0.7343,0.9221,1
2.479,1.09,1.415,-0.3946,0.9444,1
1.839,1.08,2.204,-1.077,0.9094,1
1.59,1.08,1.746,-0.7904,0.9419,1
1.525,1.09,2.305,-0.4622,0.9382,1
1.376,1.09,1.673,-0.7258,0.9259,1
1.791,1.09,1.182,-1.057,0.9396,1
1.924,1.23,1.577,-0.9144,0.9254,1
1.499,1.21,1.616,-0.761,0.9492,1
2.394,1.09,1.683,-1.109,0.8978,1
1.718,1.08,1.592,-1.342,0.9275,1
1.579,1.09,2.189,-0.3752,0.9455,1
1.229,1.09,1.819,-0.1011,0.9989,1
1.982,1.1,1.536,-1.219,0.8894,1
1.989,1.12,1.023,-0.2093,0.9709,1
1.91,1.09,1.379,-0.9039,0.941,1
2.511,1.1,1.602,-1.012,0.8862,1
2.022,1.1,1.616,-1.131,0.9219,1
2.526,1.09,1.517,-0.9891,0.9206,1
1.455,1.09,1.937,-0.8517,0.8957,1
2.371,1.09,1.59,-1.056,0.9139,1
2.411,1.22,1.75,-1.118,0.9171,1
2.229,1.22,1.63,-1.149,0.8919,1
1.562,1.24,1.63,-0.6314,0.885,1
2.193,1.24,1.642,-1.02,0.8952,1
2.504,1.1,1.861,-1.267,0.9079,1
1.285,1.09,1.746,-0.8515,0.9338,1
1.581,1.08,2.501,-1.071,0.9083,1
1.09,1.08,1.957,-0.2826,0.9941,1
1.61,1.09,2.504,-1.057,0.897,1
1.369,1.08,1.7,-0.9068,0.9185,1
2.511,1.1,1.919,-1.279,0.9004,1
2.482,1.11,1.635,-1.082,0.9014,1
1.6,1.08,1.795,-0.8195,0.9116,1
2.048,1.09,1.902,-0.3973,0.9459,1
1.809,1.22,1.899,-1.07,0.9472,1
2.407,1.09,1.6,-1.134,0.9023,1
1.721,1.22,2.304,-1.177,0.8789,1
2.492,1.22,1.646,-1.185,0.9185,1
1.918,1.21,1.395,-0.6094,0.9433,1
1.583,1.09,2.244,-1.279,0.901,1
2.001,1.22,1.595,-0.7502,0.9167,1
1.633,1.24,2.428,-1.135,0.8969,1
2.507,1.12,1.423,-0.3528,0.9227,1
2.017,1.17,1.951,-1.182,0.8559,1
2.541,1.09,1.217,-0.5144,0.9442,1
2.449,1.24,1.75,-1.034,0.8793,1
1.982,1.1,1.278,-0.02725,0.9752,1
1.921,1.08,1.199,-0.8506,0.9298,1
1.637,1.24,2.21,-1.141,0.8869,1
1.954,1.23,1.709,-0.822,0.9121,1
2.246,1.22,1.679,-1.318,0.9041,1
1.756,1.22,1.359,-0.7718,0.9075,1
2.387,1.23,1.69,-1.095,0.9218,1
2.51,1.22,1.665,-1.024,0.8832,1
1.954,1.11,1.394,-0.8469,0.9024,1
1.986,1.09,0.9658,-0.1039,0.9754,1
1.808,1.22,1.331,-1.061,0.946,1
1.333,1.08,1.692,-0.7891,0.9303,1
2.432,1.09,1.646,-1.024,0.9272,1
2.396,1.11,1.711,-1.092,0.8852,1
1.884,1.09,1.618,-0.7894,0.9119,1
2.394,1.09,1.77,-1.419,0.9348,1
1.995,1.23,1.689,-1.087,0.9284,1
1.785,1.24,2.521,-1.087,0.8722,1
2.161,1.09,1.494,-0.4378,0.947,1
2.518,1.22,1.714,-1.145,0.8997,1
2.404,1.09,1.452,-0.592,0.9194,1
1.899,1.22,2.255,-1.08,0.9036,1
1.802,1.22,1.261,-0.6575,0.9386,1
1.756,1.09,2.246,-1.351,0.9192,1
1.409,1.09,2.479,-0.5045,0.9124,1
2.481,1.11,1.668,-1.161,0.8866,1
1.283,1.09,1.742,-0.1217,0.9955,1
1.848,1.11,2.06,-1.001,0.882,1
1.653,1.09,1.575,-0.9795,0.9498,1
1.618,1.08,1.825,-0.723,0.9123,1
1.916,1.09,1.791,-1.129,0.9356,1
1.948,1.22,1.981,-1.256,0.9052,1
1.61,1.09,2.489,-0.9675,0.8877,1
1.746,1.23,2.2,-1.053,0.9184,1
1.878,1.23,1.704,-0.7565,0.9385,1
1.97,1.09,1.606,-0.9858,0.9328,1
1.775,1.09,1.596,-0.8013,0.923,1
2.493,1.1,1.75,-1.207,0.8716,1
2.13,1.22,1.82,-1.075,0.9162,1
2.492,1.09,1.589,-1.207,0.8848,1
1.771,1.09,1.596,-0.7806,0.9157,1
1.906,1.09,1.562,-1.045,0.9217,1
1.786,1.21,1.952,-0.992,0.9205,1
1.978,1.18,1.692,-1.227,0.9033,1
1.461,1.1,1.903,-1.217,0.8993,1
1.642,1.09,1.726,-1.029,0.9049,1
1.984,1.09,1.667,-1.191,0.9211,1
2.511,1.23,1.696,-1.108,0.8989,1
2.491,1.22,1.682,-1.084,0.8987,1
1.558,1.09,1.599,-0.7773,0.9208,1
1.684,1.25,2.386,-1.098,0.8852,1
1.974,1.31,1.719,-1.074,0.9137,1
2.277,1.09,1.574,-1.074,0.8905,1
2.492,1.24,1.676,-1.119,0.8922,1
2.211,1.22,1.687,-1.167,0.9393,1
2.129,1.24,1.889,-1.107,0.8958,1
2.177,1.22,1.64,-1.247,0.9145,1
2.436,1.23,1.677,-0.9782,0.9124,1
1.969,1.23,1.971,-1.084,0.9026,1
1.657,1.22,2.405,-1.17,0.9156,1
2.458,1.09,1.408,-0.4109,0.933,1
1.54,1.09,1.975,-1.174,0.9418,1
2.028,1.23,1.653,-0.7554,0.9039,1
1.417,1.23,1.675,-0.7556,0.9169,1
2.373,1.09,1.67,-1.056,0.9065,1
1.305,1.09,1.897,-1.016,0.931,1
2.368,1.23,1.651,-1.136,0.9124,1
2.409,1.08,1.754,-1.333,0.9066,1
2.19,1.24,1.642,-1.168,0.8649,1
1.343,1.22,1.841,-0.869,0.9498,1
2.038,1.22,1.914,-1.156,0.8906,1
1.938,1.18,1.24,-0.865,0.8748,1
2.454,1.24,1.668,-1.089,0.8933,1
1.832,1.1,1.258,-1.044,0.9087,1
1.497,1.09,2.141,-0.5233,0.9376,1
1.559,1.08,1.919,-0.7834,0.9575,1
2.009,1.24,1.77,-0.6754,0.904,1
1.695,1.23,1.88,-0.8089,0.9154,1
1.38,1.09,1.908,-1.327,0.9231,1
1.433,1.12,2.432,-0.4218,0.918,1
1.719,1.21,2.037,-1.025,0.9412,1
2.046,1.1,1.927,-1.302,0.8953,1
1.43,1.09,1.8,-1.401,0.9323,1
1.996,1.22,1.812,-0.7686,0.9073,1
1.666,1.09,1.591,-1.112,0.9387,1
2.484,1.23,1.687,-1.003,0.9275,1
2.489,1.31,1.68,-1.117,0.9004,1
1.514,1.09,1.857,-1.239,0.922,1
1.819,1.24,1.664,-0.717,0.8835,1
1.383,1.09,1.682,-0.7859,0.9079,1
2.512,1.11,1.722,-1.126,0.885,1
2.559,1.18,1.799,-1.472,0.8996,1
1.677,1.08,1.592,-0.8859,0.9197,1
1.569,1.23,1.673,-0.8415,0.9204,1
1.592,1.08,1.57,-0.8617,0.9282,1
1.735,1.09,1.965,-1.435,0.9407,1
1.936,1.09,1.213,-0.8052,0.8993,1
1.535,1.09,1.573,-0.871,0.9491,1
2.514,0.95,1.588,-1.283,0.9206,1
2.418,1.09,1.702,-1.074,0.8922,1
1.59,1.09,1.823,-1.203,0.9328,1
1.593,1.09,2.502,-1.081,0.8864,1
1.79,1.22,1.658,-0.8011,0.8967,1
1.458,1.09,1.617,-0.9201,0.914,1
2.222,1.22,1.67,-1.045,0.9035,1
2.451,1.09,1.634,-0.9708,0.8846,1
1.954,1.09,1.937,-0.9193,0.8961,1
1.901,1.23,1.716,-0.9007,0.9342,1
1.332,1.08,1.924,-0.8072,0.9565,1
1.992,1.09,1.768,-1.159,0.9292,1
2.263,1.22,1.693,-1.105,0.8769,1
1.774,1.12,1.57,-0.6929,0.9111,1
1.669,1.22,1.98,-0.7669,0.9201,1
1.398,1.09,1.644,-0.7535,0.9303,1
1.282,1.23,1.807,-0.8702,0.9512,1
1.612,1.08,1.592,-0.8432,0.9343,1
1.703,1.23,2.3,-1.136,0.9462,1
2.118,1.09,1.486,-0.5481,0.9188,1
1.92,1.12,2.003,-0.9445,0.9028,1
2.408,1.23,1.688,-1.02,0.9264,1
1.938,1.09,1.193,-0.1032,0.9857,1
1.718,1.24,2.348,-1.003,0.8932,1
1.294,1.09,1.85,-0.7747,0.9409,1
1.74,1.11,2.457,-1.037,0.8787,1
1.238,1.09,1.861,-0.2236,0.9753,1
1.7,1.09,2.143,-1.148,0.9108,1
1.785,1.23,1.778,-0.8906,0.9322,1
1.588,1.08,1.844,-0.8325,0.9215,1
1.748,1.24,1.657,-0.6192,0.8923,1
1.798,1.09,2.051,-1.019,0.9162,1
1.819,1.18,1.83,-1.173,0.9018,1
2.267,1.09,1.658,-0.9629,0.8824,1
1.497,1.09,2.536,-1.018,0.9223,1
2.443,1.23,1.698,-1.26,0.9239,1
1.763,1.24,2.532,-1.088,0.9011,1
2.502,1.11,1.84,-1.183,0.8874,1
1.689,1.09,1.59,-0.7841,0.9137,1
1.904,1.09,1.33,-0.9244,0.9367,1
1.504,1.09,1.615,-0.748,0.9303,1
2.018,1.09,1.388,-0.7573,0.9176,1
1.916,1.1,1.716,-1.008,0.9317,1
1.604,1.09,1.49,-0.7774,0.9057,1
1.881,1.1,1.245,-0.07717,0.9722,1
2.402,1.1,1.671,-1.334,0.9007,1
2.516,1.22,1.74,-1.146,0.8999,1
1.884,1.09,1.821,-1.123,0.9289,1
1.952,1.11,1.55,-0.734,0.8962,1
2.333,1.22,1.608,-1.161,0.8999,1
2.456,1.09,1.647,-1.065,0.9374,1
1.447,1.1,1.816,-1.207,0.9238,1
1.811,1.09,1.832,-1.223,0.9376,1
1.741,1.1,1.257,-0.8333,0.9583,1
1.856,1.08,1.584,-1.009,0.9368,1
2.531,1.24,1.768,-1.034,0.9199,1
2.452,1.24,1.654,-1.063,0.8879,1
1.822,1.22,1.735,-0.8218,0.9563,1
1.941,1.23,1.742,-0.8709,0.936,1
1.674,1.24,2.502,-1.215,0.8913,1
1.589,1.09,1.816,-0.744,0.9128,1
2.492,1.09,1.582,-1.104,0.9106,1
2.347,1.22,1.698,-1.163,0.8928,1
2.418,1.1,1.619,-1.286,0.9006,1
1.387,1.22,1.802,-0.9791,0.9526,1
1.796,1.23,1.758,-0.8616,0.9335,1
2.239,1.09,1.681,-1.109,0.9209,1
2.271,1.09,1.669,-1.105,0.9086,1
2.434,1.09,1.592,-0.9625,0.9038,1
1.759,1.08,1.602,-0.8698,0.9058,1
1.884,1.09,1.582,-0.6911,0.9111,1
2.538,1.24,1.807,-1.012,0.8748,1
2.433,1.22,1.679,-1.177,0.9013,1
1.747,1.22,1.717,-0.905,0.9307,1
1.989,1.31,1.68,-0.9642,0.9015,1
1.648,1.22,1.951,-0.8398,0.9406,1
1.868,1.23,1.693,-0.7824,0.9311,1
1.667,1.22,2.456,-1.297,0.898,1
1.529,1.08,1.965,-0.8138,0.9298,1
2.424,1.09,1.696,-1.12,0.903,1
2.541,1.09,1.533,-1.084,0.9102,1
2.467,1.08,1.65,-1.019,0.9254,1
2.239,1.22,1.672,-1.064,0.9149,1
1.976,1.08,1.439,-0.9006,0.9175,1
1.97,1.11,1.157,-0.1754,0.9948,1
2.47,1.24,1.669,-1.073,0.8794,1
2.663,1.09,3.764,-1.42,0.9536,1
1.754,1.09,1.388,-0.2733,0.9876,1
2.267,1.11,1.869,-1.063,0.8939,1
2.076,1.24,1.794,-0.9765,0.8963,1
2.462,1.22,1.683,-1.108,0.898,1
2.433,1.22,1.76,-1.092,0.885,1
1.911,1.09,1.599,-0.9812,0.9344,1
2.495,1.24,1.714,-0.944,0.8963,1
2.449,1.22,1.716,-1.084,0.9122,1
1.694,1.22,1.635,-0.7813,0.9284,1
2.198,1.22,1.644,-1.093,0.9095,1
2.069,1.08,1.918,-1.114,0.8864,1
2.226,1.11,1.567,-0.9751,0.9196,1
1.876,1.1,1.257,-1.244,0.934,1
2.478,1.09,1.647,-1.127,0.9097,1
1.708,1.22,1.708,-0.9028,0.9459,1
1.634,1.22,1.977,-0.8249,0.9496,1
1.837,1.1,1.807,-0.669,0.9389,1
1.807,0.91,1.476,-6.005,0.964,1
1.086,1.04,1.46,-0.5841,0.758,1
1.271,1.08,1.656,-0.2735,0.8352,1
1.413,1.09,1.743,-0.9765,0.9423,1
1.358,1.08,1.718,-0.7788,0.9183,1
1.616,1.12,1.58,-0.8478,0.908,1
1.775,1.08,1.6,-0.8236,0.9369,1
2.181,1.23,1.711,-1.127,0.9414,1
1.553,1.09,2.484,-1.024,0.874,1
2.027,1.09,1.866,-0.4087,0.9419,1
1.916,1.11,2.51,-1.293,0.8866,1
1.621,1.1,2.493,-1.029,0.9173,1
2.512,1.09,1.645,-1.238,0.9265,1
2.146,1.24,1.687,-0.9629,0.8937,1
2.486,1.09,1.724,-1.038,0.8938,1
4.142,1.24,1.63,-1.432,0.9621,1
1.829,1.12,1.61,-0.7154,0.9032,1
2.455,1.11,1.623,-1.078,0.9127,1
2.428,1.24,1.748,-1.146,0.9056,1
2.003,1.09,1.431,-0.7715,0.9069,1
1.927,1.09,1.193,-0.01325,0.9933,1
2.419,1.24,1.668,-1.174,0.9044,1
1.46,1.09,2.418,-0.3902,0.9545,1
2.396,1.09,1.467,-0.4772,0.9371,1
1.923,1.09,1.141,-0.1438,0.9991,1
4.155,1.22,1.744,-1.507,0.9616,1
2.501,1.11,1.184,-0.4448,0.9627,1
2.458,1.09,1.322,-0.462,0.9399,1
1.816,1.11,2.107,-0.3278,0.9389,1
1.603,1.09,1.672,-0.8836,0.9021,1
2.514,1.22,1.713,-1.305,0.9051,1
1.607,1.08,2.336,-1.171,0.9227,1
1.316,1.06,2.427,-0.6893,0.98,1
1.655,1.22,2.153,-1.081,0.9152,1
1.792,1.11,2.464,-1.232,0.8954,1
1.69,1.25,2.434,-1.001,0.896,1
1.726,1.1,2.165,-1.114,0.9388,1
2.271,1.1,1.725,-0.3304,0.9396,1
1.404,1.1,1.517,-0.1338,0.9908,1
1.648,1.24,2.157,-1.061,0.8963,1
1.526,1.08,2.015,-0.8989,0.9595,1
2.473,1.22,1.692,-1.081,0.9216,1
2.474,1.16,1.907,-1.248,0.8877,1
1.998,1.09,1.531,-0.6927,0.9153,1
1.705,1.24,2.161,-1.044,0.9054,1
1.267,1.09,1.82,-0.1708,0.9856,1
2.428,1.09,1.499,-0.4112,0.9411,1
2.529,1.12,1.568,-1.05,0.9117,1
1.213,1.1,2.509,-0.324,0.9397,1
1.644,1.24,2.467,-1.072,0.8969,1
1.971,1.08,1.317,-0.8175,0.9192,1
1.563,1.08,2.334,-1.106,0.8861,1
2.474,1.11,1.322,-0.3642,0.9273,1
1.762,1.08,2.391,-1.127,0.9051,1
1.981,1.07,1.452,-0.821,0.92,1
1.964,1.09,1.106,-0.2007,0.9809,1
1.638,1.09,1.777,-1.051,0.9467,1
1.572,1.09,1.96,-0.7447,0.9342,1
1.06,1.12,1.982,-0.1128,0.9729,1
1.958,1.12,1.422,-0.6899,0.9099,1
1.884,1.11,1.334,-0.1605,0.9691,1
2.105,1.24,1.809,-1.018,0.8977,1
2.469,1.11,1.703,-0.9998,0.8946,1
1.737,1.24,1.829,-0.8012,0.9197,1
1.733,1.09,2.234,-0.4386,0.9482,1
1.67,1.09,2.368,-0.4334,0.9383,1
1.911,1.09,1.75,-1.041,0.9518,1
1.841,1.09,2.124,-0.5511,0.9338,1
1.492,1.09,1.986,-0.6932,0.9383,1
1.268,1.08,1.952,-0.7708,0.9267,1
2.412,1.11,1.366,-0.2889,0.9305,1
1.603,1.09,2.312,-1.093,0.9184,1
2.255,1.24,1.672,-0.9821,0.8933,1
1.715,1.21,1.613,-0.7191,0.9475,1
1.534,1.09,1.998,-0.8152,0.9214,1
1.345,1.09,2.359,-0.5544,0.9659,1
1.071,1.09,1.948,-0.1618,0.9849,1
1.929,1.11,1.707,-1.006,0.9078,1
3.971,1.1,2.493,-1.755,0.9561,1
1.817,1.24,1.768,-0.7972,0.9169,1
1.737,1.24,2.422,-1.053,0.8903,1
1.447,1.09,2.406,-0.4605,0.9264,1
1.404,1.1,2.257,-0.329,0.9413,1
1.654,1.24,2.314,-1.023,0.9015,1
1.986,1.08,1.435,-0.752,0.9159,1
1.758,1.11,1.307,-0.102,0.9718,1
2.278,1.09,1.707,-1.143,0.9166,1
2.215,1.22,1.85,-1.14,0.8945,1
1.912,1.22,2.027,-1.138,0.9072,1
2.381,1.22,1.666,-1.049,0.904,1
1.98,1.09,0.9856,-0.1879,0.9935,1
1.58,1.1,1.427,-0.07517,0.9987,1
1.956,1.1,1.911,-0.3198,0.953,1
1.389,1.1,1.589,-0.08039,0.9927,1
2.494,1.11,1.59,-1.144,0.8821,1
1.958,1.09,2.062,-1.105,0.9166,1
2.133,1.23,1.702,-1.108,0.9012,1
1.977,1.16,1.642,-1.218,0.9088,1
2.199,1.08,1.596,-1.11,0.8961,1
2.159,1.23,1.913,-0.9869,0.8793,1
2.106,1.24,1.707,-0.9948,0.8926,1
2.301,1.22,1.632,-1.146,0.8918,1
1.282,1.11,1.802,-0.09275,0.9791,1
2.343,1.1,1.503,-0.5044,0.9336,1
1.773,1.11,2.227,-0.1391,0.931,1
1.826,1.09,1.237,-0.7172,0.9287,1
1.65,1.24,2.442,-1.071,0.8863,1
1.704,1.24,1.502,-0.7694,0.8995,1
2.06,1.09,1.663,-0.4397,0.9562,1
1.587,1.08,2.491,-0.9907,0.9029,1
2.278,1.09,1.594,-1.115,0.9053,1
1.703,1.11,1.933,-0.8542,0.9227,1
1.319,1.09,2.482,-0.5155,0.9638,1
1.325,1.09,1.934,-0.7748,0.9201,1
1.974,1.09,1.559,-0.9777,0.9208,1
2.397,1.24,1.666,-1.089,0.9009,1
2.2,1.11,1.746,-1.159,0.8925,1
1.192,1.1,1.95,-0.1209,0.9948,1
1.824,1.11,2.09,-1.189,0.897,1
1.614,1.08,1.57,-0.9368,0.9197,1
2.485,1.09,1.297,-0.4413,0.9472,1
2.312,1.22,1.695,-1.02,0.9025,1
1.868,1.09,1.25,-0.1539,0.9932,1
1.8,1.1,1.239,-0.818,0.8995,1
1.628,1.09,1.604,-0.7654,0.9242,1
2.522,1.08,1.566,-1.07,0.925,1
2.439,1.23,1.68,-1.087,0.9234,1
1.808,1.1,1.344,-0.08729,0.9993,1
1.581,1.09,4.231,-1.717,0.9478,1
1.88,1.09,1.566,-0.7909,0.9078,1
1.332,1.09,2.384,-0.4538,0.9566,1
1.492,1.09,1.452,-0.08159,0.9854,1
