 Length, Height, Width, Sum, Omnivariance, Eigenentropy, Anisotropy, Planarity, Linearity, Surface Variation, Sphericity, Verticality, Mean Intensity, STD Intensity, ExpectedValuex, ExpectedValuey, ExpectedValuez, Variancex, Variancey, Variancez, MeanVar, Distance, MeanVel, MaxVel, MeanAcc, MaxAcc, MeanAVel, Class
1.619,1.22,1.479,0.3947,0.1064,0.7165,-3.033,-2.889,-0.1447,0.6529,0.3216,0.8395,60.39,54.1,0.3604,0.02644,0.001817,0.3668,0.3594,0.1931,0.3064,0.8877,0.2509,2.119,0.002843,17.88,-0.004951,0
1.204,1.09,1.693,0.413,0.1165,0.7509,-2.869,-2.371,-0.4982,0.6077,0.3158,0.8257,58.73,49.69,0.2251,0.1385,0.03711,0.2155,0.4835,0.1727,0.2906,1.055,0.2509,2.119,0.002843,17.88,-0.004951,0
1.34,1.22,1.834,0.4872,0.1393,0.8134,-2.85,-2.132,-0.7172,0.5862,0.3598,0.9146,52.43,51.36,0.2014,0.2297,0.012,0.2901,0.5501,0.201,0.3471,1.239,0.2509,2.119,0.002843,17.88,-0.004951,0
1.364,1.12,1.661,0.4741,0.131,0.7906,-3.461,-2.612,-0.8495,0.6102,0.3542,0.9165,50.66,48.22,0.243,0.2748,0.0501,0.3136,0.4706,0.1794,0.3212,1.189,0.2509,2.119,0.002843,17.88,-0.004951,0
1.45,1.18,1.944,0.4972,0.1353,0.804,-4.02,-2.639,-1.381,0.5975,0.3563,0.9186,55.63,52.92,0.227,0.04194,0.0809,0.3048,0.6095,0.1892,0.3678,1.13,0.2509,2.119,0.002843,17.88,-0.004951,0
2.448,1.09,1.6,0.5824,0.157,0.8402,-4.007,-2.971,-1.036,0.6225,0.435,0.9147,47.18,40.75,0.4433,0.3225,0.05755,0.8414,0.3776,0.175,0.4646,1.367,0.2509,2.119,0.002843,17.88,-0.004951,0
1.912,1.09,1.251,0.4754,0.1314,0.7945,-3.639,-2.489,-1.15,0.5956,0.3442,0.9246,53.22,49.36,0.21,0.1919,0.0386,0.5754,0.2642,0.17,0.3365,0.8629,0.2509,2.119,0.002843,17.88,-0.004951,0
1.457,1.23,1.767,0.5043,0.1418,0.8201,-3.285,-2.245,-1.039,0.585,0.3639,0.9575,52.08,50.38,0.2488,0.3865,0.03108,0.3586,0.5078,0.2011,0.3558,1.096,0.2509,2.119,0.002843,17.88,-0.004951,0
1.24,1.09,1.856,0.4843,0.1326,0.7971,-3.841,-2.611,-1.229,0.5998,0.3506,0.949,51.17,45.2,0.1874,0.2189,0.0319,0.2683,0.5606,0.1695,0.3328,1.226,0.2509,2.119,0.002843,17.88,-0.004951,0
2.214,1.22,1.662,0.5828,0.1621,0.8578,-3.496,-2.416,-1.08,0.5934,0.4228,0.9108,51.79,48.48,0.5088,0.3664,0.01953,0.696,0.4452,0.2044,0.4485,1.339,0.2509,2.119,0.002843,17.88,-0.004951,0
