 Length, Height, Width, Sum, Omnivariance, Eigenentropy, Anisotropy, Planarity, Linearity, Surface Variation, Sphericity, Verticality, Mean Intensity, STD Intensity, ExpectedValuex, ExpectedValuey, ExpectedValuez, Variancex, Variancey, Variancez, MeanVar, Distance, MeanVel, MaxVel, MeanAcc, MaxAcc, MeanAVel, Class
1.323,1.45,2.1,0.5821,0.1362,0.7634,-6.14,-5.421,-0.7189,0.7242,0.4807,0.7383,91.64,77.99,0.3427,0.1506,0.06335,0.2264,0.7603,0.2842,0.4236,1.242,0.2509,2.119,0.002843,17.88,-0.004951,1
1.824,1.46,2.226,0.6358,0.1489,0.7722,-5.084,-4.885,-0.1989,0.7345,0.5438,0.7766,91.58,75.69,0.01762,0.3769,0.05034,0.5443,0.6806,0.2791,0.5013,1.738,0.2509,2.119,0.002843,17.88,-0.004951,1
1.82,1.47,2.229,0.6562,0.156,0.7841,-4.691,-4.562,-0.1286,0.7278,0.5615,0.7941,92.51,75.17,0.02955,0.2107,0.05105,0.5606,0.6744,0.291,0.5087,1.591,0.2509,2.119,0.002843,17.88,-0.004951,1
1.463,1.61,2.417,0.6791,0.1525,0.7593,-6.306,-5.874,-0.4314,0.7503,0.5793,0.7756,87.7,74.55,0.07614,0.191,0.1326,0.38,0.8491,0.3312,0.5201,1.545,0.2509,2.119,0.002843,17.88,-0.004951,1
1.627,1.61,2.375,0.7233,0.1604,0.7559,-6.536,-6.102,-0.4342,0.7559,0.6192,0.8109,81.49,71.55,0.0819,0.2034,0.1329,0.4915,0.8135,0.325,0.5433,1.572,0.2509,2.119,0.002843,17.88,-0.004951,1
2.221,1.44,2.109,0.7422,0.1613,0.743,-6.452,-6.188,-0.2646,0.7669,0.6456,0.8121,84.78,74.28,0.111,0.2699,0.04963,0.8361,0.585,0.2758,0.5656,1.659,0.2509,2.119,0.002843,17.88,-0.004951,1
2.673,1.45,1.731,0.8304,0.1831,0.7476,-6.321,-6.015,-0.3058,0.7605,0.7178,0.8471,78.77,71.31,0.0189,0.3625,0.07117,1.203,0.368,0.2794,0.6169,1.801,0.2509,2.119,0.002843,17.88,-0.004951,1
2.721,1.43,1.706,0.8765,0.1799,0.6948,-7.706,-7.368,-0.3389,0.7882,0.7702,0.8479,74.04,67.82,0.08969,0.2925,0.05191,1.275,0.3648,0.267,0.6355,1.711,0.2509,2.119,0.002843,17.88,-0.004951,1
2.874,1.59,1.72,0.9921,0.2012,0.6544,-7.902,-7.576,-0.3257,0.7929,0.8749,0.8377,79.02,70.66,0.08506,0.3202,0.1251,1.455,0.3621,0.3205,0.7124,1.794,0.2509,2.119,0.002843,17.88,-0.004951,1
2.85,1.42,1.703,1.058,0.2055,0.5967,-8.439,-8.202,-0.2372,0.8084,0.9456,0.8757,80.37,71.49,0.1633,0.3397,0.05063,1.483,0.3895,0.2715,0.7148,1.735,0.2509,2.119,0.002843,17.88,-0.004951,1
2.497,1.41,2.179,1.083,0.195,0.5345,-10.98,-10.51,-0.4741,0.8289,0.9723,0.8685,79.26,71.23,0.2805,0.2582,0.04537,1.214,0.6931,0.2565,0.7212,1.659,0.2509,2.119,0.002843,17.88,-0.004951,1
3.013,1.42,1.782,1.209,0.2116,0.4409,-11.61,-11.16,-0.4525,0.8372,1.092,0.8899,80.38,71.77,0.2582,0.3348,0.04567,1.711,0.4238,0.2624,0.7992,1.749,0.2509,2.119,0.002843,17.88,-0.004951,1
2.975,1.41,2.167,1.389,0.2221,0.237,-13.64,-13.27,-0.3763,0.8604,1.277,0.9177,77.32,68.91,0.3067,0.2741,0.0588,1.775,0.6429,0.2655,0.8946,1.799,0.2509,2.119,0.002843,17.88,-0.004951,1
