 Length, Height, Width, Sum, Omnivariance, Eigenentropy, Anisotropy, Planarity, Linearity, Surface Variation, Sphericity, Verticality, Max Intensity, Mean Intensity, STD Intensity, ExpectedValuex, ExpectedValuey, ExpectedValuez, Variancex, Variancey, Variancez, MeanVar, Distance, N.Points, MeanVel, MaxVel, MeanAcc, MaxAcc, MeanAVel, Class
2.297,1.24,1.646,0.6029,0.1654,0.8606,-3.797,-2.599,-1.198,0.6,0.4372,0.8957,255,53,51.22,0.4845,0.3341,0.004151,0.7586,0.4302,0.2079,0.4656,1.705,109,0.2509,2.119,0.002843,17.88,-0.004951,0
1.769,1.1,1.63,0.4615,0.1247,0.7736,-3.915,-2.945,-0.9701,0.6233,0.3462,0.9112,255,52.62,52.05,0.1931,0.351,0.05374,0.4918,0.3836,0.1691,0.3482,1.173,107,0.2509,2.119,0.002843,17.88,-0.004951,0
2.045,1.22,1.882,0.6117,0.166,0.8575,-3.958,-2.82,-1.138,0.6124,0.4502,0.8974,227,50.52,46.98,0.4862,0.2301,0.0004562,0.6044,0.5721,0.2028,0.4597,1.288,106,0.2509,2.119,0.002843,17.88,-0.004951,0
1.727,1.09,1.591,0.462,0.1272,0.7824,-3.625,-2.612,-1.012,0.6056,0.3403,0.9412,219,49.53,42.44,0.2222,0.3514,0.0449,0.4659,0.3873,0.1671,0.3401,1.314,99,0.2509,2.119,0.002843,17.88,-0.004951,0
2.207,1.23,1.676,0.5855,0.1609,0.855,-3.787,-2.522,-1.266,0.5945,0.4208,0.9102,255,53.75,51.33,0.511,0.363,0.008269,0.6928,0.456,0.2024,0.4504,1.683,110,0.2509,2.119,0.002843,17.88,-0.004951,0
1.272,1.08,1.718,0.4626,0.1279,0.784,-3.52,-2.569,-0.9512,0.605,0.3418,0.9383,219,50.04,44.12,0.2301,0.2242,0.04856,0.2775,0.498,0.1653,0.3136,1.157,98,0.2509,2.119,0.002843,17.88,-0.004951,0
1.807,1.09,1.811,0.4835,0.131,0.7924,-4.059,-2.777,-1.281,0.6066,0.3512,0.9345,227,51.27,47.91,0.1754,0.3868,0.03662,0.4983,0.4616,0.1679,0.3759,1.197,104,0.2509,2.119,0.002843,17.88,-0.004951,0
2.511,1.23,1.694,0.607,0.1657,0.8606,-3.915,-2.651,-1.264,0.6009,0.439,0.9122,242,52.13,49.19,0.262,0.2548,0.003773,0.8878,0.406,0.2035,0.4991,1.483,97,0.2509,2.119,0.002843,17.88,-0.004951,0
1.568,1.09,1.66,0.4616,0.1284,0.7848,-3.367,-2.513,-0.8547,0.6047,0.3431,0.9326,255,51.65,49.7,0.3495,0.2048,0.04924,0.391,0.4347,0.1694,0.3317,0.7613,99,0.2509,2.119,0.002843,17.88,-0.004951,0
1.984,1.22,2.02,0.5938,0.1626,0.8549,-3.792,-2.66,-1.132,0.6047,0.434,0.9115,255,53.33,50.21,0.177,0.4643,0.006113,0.6161,0.5686,0.2012,0.462,0.9809,106,0.2509,2.119,0.002843,17.88,-0.004951,0
