 Length, Height, Width, Eigenentropy, Anisotropy, Surface Variation, Verticality, Class
1.701,1.23,1.697,0.8199,-2.868,0.5776,0.903,1
1.697,1.17,2.355,0.8432,-4.393,0.6176,0.8917,1
1.675,1.09,1.394,0.7898,-3.402,0.6089,0.9189,1
1.647,1.31,1.81,0.8291,-3.24,0.5789,0.8892,1
2.416,1.09,1.911,0.8425,-4.048,0.605,0.925,1
1.799,1.09,1.767,0.8019,-3.785,0.6003,0.9298,1
1.452,1.22,1.71,0.8211,-2.759,0.575,0.8962,1
2.166,1.08,1.591,0.8264,-4.323,0.6262,0.941,1
2.446,1.24,1.739,0.8654,-3.769,0.6098,0.8914,1
1.714,1.09,2.031,0.8294,-4.227,0.6207,0.913,1
1.582,1.09,2.528,0.8439,-4.19,0.6259,0.9032,1
2.496,1.22,1.696,0.8568,-4.074,0.6142,0.8925,1
1.702,1.12,1.609,0.7925,-3.357,0.6075,0.9211,1
1.845,1.1,1.647,0.765,-4.185,0.622,0.909,1
1.971,1.09,1.566,0.7877,-3.316,0.6059,0.9414,1
2.512,1.22,1.73,0.8556,-3.859,0.6082,0.9069,1
1.906,1.09,1.474,0.8054,-3.47,0.5916,0.9495,1
1.918,1.09,1.629,0.77,-3.79,0.6176,0.9174,1
2.406,1.12,1.601,0.8242,-3.947,0.6201,0.8747,1
2.484,1.09,1.896,0.8417,-4.159,0.6061,0.9131,1
2.489,1.24,1.717,0.8576,-3.896,0.6045,0.9153,1
2.115,1.09,1.798,0.8378,-4.398,0.6301,0.9073,1
1.908,1.09,1.64,0.7598,-4.436,0.6244,0.9207,1
2.489,1.09,1.481,0.8344,-4.269,0.6263,0.8977,1
2.491,1.24,1.68,0.8675,-3.565,0.5932,0.897,1
1.71,1.09,1.798,0.7962,-4.049,0.6018,0.9515,1
1.986,1.08,1.549,0.7828,-3.618,0.6069,0.9465,1
2.27,1.09,1.566,0.8265,-4.314,0.6288,0.9527,1
1.705,1.08,1.53,0.7949,-3.619,0.6025,0.9156,1
