 Length, Height, Width, Eigenentropy, Anisotropy, Surface Variation, Verticality, Class
2.386,1.09,1.598,0.8256,-4.119,0.6218,0.9222,1
1.829,1.1,1.6,0.785,-3.486,0.6082,0.9244,1
2.542,1.09,1.659,0.8449,-4.307,0.6242,0.8964,1
1.62,1.1,1.767,0.7946,-3.819,0.5997,0.9154,1
1.624,1.09,2.203,0.7542,-5.282,0.7164,0.9473,1
4.312,1.22,1.809,-0.3049,-22.56,0.8628,0.9458,1
1.903,1.31,2.013,0.8665,-3.877,0.6065,0.8815,1
2.47,1.09,1.874,0.8437,-4.035,0.5973,0.9052,1
2.502,1.22,1.738,0.8612,-3.902,0.6034,0.8994,1
1.577,1.1,1.777,0.8016,-3.72,0.6108,0.9407,1
2.474,1.23,1.669,0.8596,-3.761,0.5997,0.908,1
2.42,1.24,1.705,0.8605,-3.682,0.6002,0.8956,1
1.531,1.31,1.803,0.8229,-3.292,0.5866,0.8933,1
1.351,1.09,2.491,0.7476,-5.432,0.7207,0.9432,1
1.787,1.21,1.329,0.8119,-3.125,0.5806,0.9564,1
1.68,1.22,2.105,0.8529,-4.27,0.6273,0.8957,1
1.787,1.09,1.979,0.7997,-3.72,0.5975,0.9403,1
1.777,1.08,1.588,0.7927,-3.095,0.5987,0.9209,1
2.46,1.22,1.726,0.8588,-3.759,0.6013,0.9099,1
1.718,1.21,1.587,0.8163,-3.126,0.5843,0.9396,1
1.783,1.09,1.598,0.79,-3.459,0.6118,0.9488,1
2.259,1.09,1.801,0.8305,-4.56,0.6109,0.9241,1
2.467,1.22,1.71,0.8553,-3.543,0.5938,0.9126,1
1.915,1.09,1.147,0.6927,-4.176,0.7015,0.9913,1
1.829,1.09,1.588,0.7876,-3.526,0.6141,0.9446,1
1.741,1.22,1.728,0.8153,-3.036,0.5797,0.9421,1
2.512,1.24,1.769,0.863,-3.552,0.5969,0.8804,1
1.907,1.08,1.266,0.7907,-3.41,0.6025,0.9326,1
2.239,1.09,1.756,0.8162,-4.608,0.6363,0.9107,1
1.792,1.31,1.658,0.8258,-3.277,0.5823,0.913,1
1.692,1.23,2.165,0.8575,-3.486,0.5866,0.9047,1
2.269,1.24,1.665,0.854,-3.889,0.6135,0.8937,1
2.013,1.08,1.508,0.7911,-3.176,0.5989,0.9485,1
1.843,1.1,1.854,0.7965,-3.887,0.6002,0.907,1
1.531,1.08,1.958,0.7838,-3.522,0.6086,0.9588,1
2.441,1.22,1.717,0.8554,-3.54,0.5939,0.8962,1
1.774,1.09,1.614,0.7658,-3.995,0.6163,0.9375,1
2.42,1.17,1.624,0.8544,-4.302,0.6161,0.8779,1
2.483,1.23,1.681,0.8607,-3.905,0.6063,0.8965,1
1.924,1.09,1.638,0.7796,-3.685,0.6123,0.9515,1
1.854,1.08,1.583,0.785,-3.432,0.6124,0.9239,1
2.475,1.09,1.61,0.8435,-3.976,0.6189,0.9007,1
2.448,1.09,1.588,0.8375,-4.144,0.6228,0.9034,1
1.649,1.09,1.608,0.7949,-3.316,0.61,0.9279,1
1.398,1.31,1.837,0.8244,-3.263,0.5853,0.8852,1
2.383,1.23,1.695,0.8602,-3.726,0.6023,0.9073,1
1.666,1.09,1.428,0.785,-3.594,0.6151,0.9186,1
2.479,1.3,1.752,0.8654,-3.851,0.6043,0.8956,1
2.506,1.22,1.725,0.8586,-3.527,0.591,0.9072,1
1.774,1.09,1.736,0.7959,-3.528,0.5994,0.9255,1
1.652,1.22,2.327,0.8528,-3.939,0.5993,0.8999,1
1.561,1.09,1.607,0.792,-3.321,0.6138,0.9187,1
1.727,1.08,2.094,0.8298,-4.087,0.6278,0.9205,1
2.128,1.09,1.64,0.825,-3.959,0.6136,0.8809,1
2.515,1.22,1.612,0.8579,-3.818,0.6105,0.886,1
2.509,1.22,1.657,0.8629,-3.676,0.5988,0.9086,1
2.068,1.24,1.85,0.8592,-3.844,0.6025,0.8944,1
1.523,1.09,2.469,0.8368,-4.265,0.6349,0.9201,1
1.713,1.08,2.301,0.8319,-4.319,0.6319,0.9193,1
1.579,1.09,2.462,0.837,-4.405,0.6305,0.9005,1
2.265,1.12,1.613,0.8384,-4.165,0.6251,0.8996,1
1.737,1.09,1.567,0.7913,-3.133,0.5992,0.9145,1
1.697,1.07,1.602,0.7864,-3.591,0.6218,0.9317,1
1.768,1.08,1.586,0.7847,-3.65,0.6073,0.9369,1
1.935,1.09,1.376,0.7829,-3.266,0.6016,0.9356,1
2.513,1.1,1.764,0.8339,-4.263,0.6064,0.9117,1
2.503,1.23,1.703,0.8582,-3.477,0.585,0.9038,1
2.416,1.22,1.754,0.8615,-3.726,0.6045,0.8969,1
2.335,1.22,1.632,0.864,-3.482,0.5973,0.909,1
1.668,1.1,1.778,0.7958,-3.866,0.6022,0.9257,1
1.713,1.12,1.599,0.7912,-3.177,0.6085,0.8775,1
1.711,1.24,1.397,0.8263,-2.734,0.5798,0.9112,1
2.418,1.23,1.705,0.8578,-3.4,0.5902,0.9175,1
2.253,1.22,1.666,0.8609,-3.719,0.6056,0.92,1
2.504,1.23,1.804,0.8634,-3.976,0.6059,0.8858,1
1.692,1.22,2.232,0.8519,-4.014,0.6071,0.9393,1
1.9,1.09,1.756,0.7961,-3.702,0.6044,0.929,1
1.8,1.09,2.175,0.838,-4.723,0.6197,0.9075,1
1.726,1.22,1.985,0.8149,-3.255,0.5888,0.944,1
1.791,1.09,1.599,0.788,-3.382,0.6063,0.9422,1
1.71,1.09,2.328,0.7529,-5.067,0.7149,0.9445,1
2.533,1.22,1.751,0.8628,-3.812,0.6043,0.8868,1
1.356,1.09,1.882,0.7921,-3.981,0.6032,0.9362,1
1.859,1.08,1.585,0.7858,-3.471,0.6101,0.913,1
1.462,1.09,1.62,0.6913,-4.346,0.7048,0.9763,1
2.494,1.22,1.69,0.8638,-3.541,0.5961,0.9035,1
1.616,1.09,1.898,0.7899,-3.315,0.613,0.9267,1
1.675,1.11,2.173,0.8495,-3.785,0.6141,0.8903,1
1.935,1.09,1.681,0.7956,-3.531,0.5983,0.8841,1
1.822,1.08,1.604,0.7902,-3.308,0.599,0.9281,1
2.385,1.22,1.711,0.8601,-3.609,0.6015,0.9033,1
1.507,1.09,1.582,0.7816,-3.251,0.5979,0.9157,1
1.55,1.23,1.736,0.82,-3.015,0.5824,0.9312,1
1.835,1.31,1.399,0.8281,-3.186,0.586,0.8886,1
2.332,1.22,1.614,0.8558,-3.953,0.6143,0.8957,1
1.456,1.22,1.796,0.8222,-2.811,0.58,0.9159,1
2.437,1.1,1.706,0.8425,-4.044,0.6063,0.897,1
1.88,1.1,1.271,0.7901,-3.289,0.6062,0.9174,1
1.446,1.22,1.694,0.8236,-2.876,0.5828,0.9331,1
1.506,1.09,1.989,0.7861,-3.578,0.6125,0.9196,1
2.388,1.17,1.771,0.8536,-4.26,0.6161,0.88,1
2.494,1.24,1.68,0.8638,-3.609,0.599,0.8917,1
1.957,1.21,1.917,0.8616,-3.681,0.5934,0.9165,1
1.958,1.09,1.726,0.7973,-3.541,0.593,0.938,1
1.672,1.24,2.464,0.8609,-3.616,0.6071,0.8876,1
1.695,1.08,1.272,0.773,-3.868,0.6146,0.9475,1
1.707,1.24,2.472,0.8614,-3.723,0.6114,0.8771,1
1.736,1.22,1.882,0.8141,-2.991,0.5821,0.9177,1
1.581,1.08,2.425,0.8318,-4.464,0.6272,0.9266,1
2.295,1.23,1.691,0.8585,-3.404,0.5924,0.9161,1
1.728,1.08,1.571,0.7891,-3.377,0.6076,0.9301,1
1.959,1.09,1.834,0.7939,-3.971,0.5977,0.944,1
2.486,1.24,1.733,0.8614,-3.954,0.6208,0.883,1
2.508,1.22,1.589,0.8447,-3.583,0.6076,0.9306,1
1.807,1.09,1.577,0.7919,-3.261,0.6037,0.9093,1
1.468,1.31,1.799,0.8235,-3.302,0.5881,0.888,1
1.93,1.08,1.217,0.7885,-3.263,0.6064,0.9274,1
1.982,1.1,1.785,0.83,-4.06,0.6222,0.9016,1
1.939,1.11,1.996,0.7653,-5.725,0.7199,0.9141,1
1.654,1.24,2.153,0.867,-3.658,0.6012,0.8946,1
1.376,1.23,1.827,0.8187,-3.005,0.5817,0.9357,1
1.924,1.09,1.61,0.7843,-3.334,0.6043,0.9177,1
4.157,1.09,1.668,-0.02639,-19.61,0.8507,0.9618,1
1.515,1.08,1.972,0.7696,-3.733,0.6115,0.9224,1
1.834,1.09,1.605,0.7952,-3.257,0.6093,0.9155,1
1.725,1.22,1.68,0.8173,-2.949,0.5786,0.9389,1
1.857,1.09,1.627,0.7833,-3.642,0.608,0.9567,1
2.328,1.22,1.705,0.8558,-3.843,0.6036,0.901,1
2.41,1.1,1.606,0.8327,-3.985,0.6206,0.9169,1
2.209,1.21,1.646,0.8546,-4.029,0.6134,0.9162,1
1.766,1.3,2.373,0.861,-3.516,0.5926,0.8777,1
1.569,1.08,2.261,0.7474,-5.646,0.7211,0.9439,1
2.291,1.25,1.607,0.8563,-3.789,0.6126,0.9091,1
1.251,1.08,1.841,0.7892,-3.399,0.6082,0.931,1
1.646,1.12,2.197,0.837,-4.598,0.6288,0.8932,1
1.743,1.09,1.58,0.7885,-3.361,0.6059,0.9416,1
2.243,1.22,1.895,0.8562,-3.865,0.6026,0.9008,1
2.502,1.22,1.733,0.8568,-3.777,0.605,0.9131,1
2.368,1.21,1.682,0.8605,-3.737,0.5988,0.9282,1
2.326,1.09,1.639,0.8115,-4.701,0.639,0.9003,1
1.885,1.09,1.585,0.787,-3.362,0.6072,0.9278,1
1.614,1.24,2.261,0.8639,-3.668,0.6008,0.8918,1
2.42,1.09,1.612,0.8162,-4.54,0.6376,0.9181,1
1.315,1.09,2.537,0.7469,-5.391,0.7229,0.9453,1
1.409,1.22,1.706,0.8157,-2.911,0.5932,0.922,1
1.777,1.24,2.498,0.8638,-3.571,0.5975,0.8833,1
2.14,1.09,1.856,0.8448,-3.822,0.592,0.9222,1
1.837,1.09,1.596,0.7897,-3.315,0.6132,0.9205,1
2.522,1.24,1.771,0.8618,-3.92,0.6064,0.8829,1
1.376,1.09,1.823,0.8016,-3.454,0.5915,0.9331,1
1.608,1.09,2.159,0.7471,-5.123,0.7156,0.9543,1
2.355,1.22,1.682,0.8607,-3.735,0.6011,0.9162,1
1.619,1.09,2.486,0.8263,-3.926,0.6218,0.8877,1
1.383,1.12,2.492,0.7563,-5.027,0.7144,0.9314,1
2.537,1.22,1.719,0.8564,-4.014,0.6152,0.9,1
1.222,1.09,1.897,0.7941,-3.081,0.6073,0.9155,1
2.496,1.09,1.653,0.8251,-4.473,0.623,0.9203,1
2.509,1.24,1.694,0.8669,-3.543,0.5953,0.896,1
1.686,1.24,2.214,0.8653,-3.533,0.5942,0.8893,1
1.868,1.23,1.728,0.817,-2.984,0.5824,0.9454,1
1.613,1.09,2.135,0.8164,-4.482,0.6355,0.9198,1
1.658,1.09,1.343,0.6907,-3.942,0.7022,0.9969,1
1.358,1.23,1.851,0.8143,-3.312,0.5939,0.9334,1
2.235,1.1,1.725,0.8406,-3.87,0.6028,0.9231,1
1.385,1.09,1.571,0.6865,-4.198,0.7057,0.997,1
1.799,1.09,1.588,0.7901,-3.403,0.6082,0.9035,1
1.59,1.12,1.568,0.7917,-3.102,0.6036,0.8985,1
1.912,1.17,1.561,0.8035,-3.342,0.6066,0.91,1
2.371,1.22,1.718,0.8558,-3.785,0.6057,0.9069,1
2.349,1.21,1.702,0.8611,-4.096,0.6138,0.8997,1
1.59,1.08,2.377,0.8324,-4.459,0.6336,0.9206,1
2.33,1.08,1.727,0.8333,-4.334,0.6237,0.9136,1
2.298,1.09,1.575,0.8296,-3.79,0.6109,0.8792,1
1.823,1.09,1.612,0.7612,-4.185,0.6301,0.9295,1
1.827,1.09,1.636,0.7874,-3.388,0.6074,0.9542,1
2.46,1.22,1.727,0.8515,-3.773,0.5966,0.902,1
2.483,1.23,1.698,0.8576,-3.467,0.5962,0.9239,1
1.955,1.21,1.744,0.8154,-3.175,0.5849,0.9396,1
1.754,1.09,1.593,0.7932,-3.153,0.6006,0.9281,1
2.485,1.23,1.717,0.8614,-3.399,0.586,0.9175,1
1.528,1.09,1.961,0.7979,-3.825,0.6015,0.9163,1
1.783,1.12,1.6,0.7949,-3.177,0.6021,0.8887,1
2.476,1.24,1.691,0.8692,-3.519,0.599,0.885,1
1.693,1.23,1.556,0.8183,-2.997,0.5818,0.9364,1
2.496,1.23,1.723,0.8538,-3.618,0.5885,0.9271,1
2.432,1.22,1.594,0.8644,-3.759,0.606,0.8892,1
2.082,1.08,1.789,0.8321,-4.557,0.6293,0.9094,1
1.761,1.22,2.436,0.8542,-4.149,0.6162,0.8867,1
1.659,1.23,2.343,0.8609,-4.127,0.61,0.8884,1
2.338,1.21,1.703,0.8514,-3.725,0.5938,0.9505,1
2.493,1.22,1.698,0.8592,-3.883,0.5944,0.9087,1
1.775,1.09,1.809,0.7966,-3.743,0.595,0.9436,1
1.79,1.23,1.726,0.8166,-2.986,0.5854,0.916,1
2.456,1.22,1.751,0.8607,-3.815,0.6,0.8983,1
1.671,1.08,1.372,0.7908,-3.568,0.6091,0.9222,1
1.872,1.09,1.955,0.8192,-4.265,0.6277,0.8994,1
1.929,1.09,1.635,0.7833,-3.315,0.6008,0.9358,1
1.938,1.1,2.362,0.8471,-3.894,0.5976,0.9108,1
2.46,1.09,1.844,0.8392,-4.203,0.6133,0.9105,1
2.402,1.22,1.735,0.8615,-3.801,0.6083,0.9152,1
1.686,1.09,1.57,0.7868,-3.505,0.6091,0.9142,1
1.606,1.23,1.707,0.821,-2.979,0.5793,0.9277,1
2.467,1.18,1.777,0.855,-4.391,0.6233,0.882,1
2.191,1.09,1.625,0.8371,-4.268,0.633,0.9119,1
2.252,1.23,1.711,0.8615,-3.584,0.5979,0.9124,1
1.642,1.09,1.608,0.7861,-3.631,0.6187,0.9291,1
1.871,1.07,1.6,0.7821,-3.923,0.6176,0.915,1
1.586,1.09,1.889,0.7931,-3.14,0.6028,0.9351,1
1.974,1.08,1.492,0.7866,-3.472,0.6166,0.9335,1
1.411,1.1,1.732,0.6942,-4.125,0.7035,0.9673,1
2.469,1.23,1.719,0.8574,-3.997,0.6108,0.8927,1
2.323,1.1,1.493,0.7556,-5.092,0.7119,0.9435,1
2.494,1.09,1.601,0.8296,-4.047,0.6221,0.9091,1
1.709,1.23,2.473,0.8609,-3.444,0.588,0.9175,1
2.527,1.23,1.79,0.8604,-3.709,0.6,0.894,1
2.19,1.23,1.863,0.8599,-3.744,0.6023,0.8925,1
1.354,1.12,2.489,0.7563,-4.983,0.7128,0.9427,1
1.482,1.09,2.33,0.7459,-5.595,0.7225,0.9363,1
1.295,1.09,1.849,0.7926,-3.3,0.6123,0.9274,1
1.628,1.2,1.944,0.8158,-3.116,0.5835,0.938,1
1.369,1.09,1.694,0.7901,-3.234,0.6041,0.9112,1
1.668,1.12,2.357,0.7587,-4.912,0.7105,0.916,1
1.521,1.09,1.417,0.6793,-4.046,0.7059,0.993,1
1.638,1.22,1.945,0.8202,-2.914,0.5787,0.9344,1
4.055,1.21,2.224,0.03708,-18.36,0.8432,0.9636,1
1.638,1.09,1.421,0.7919,-3.128,0.5956,0.9155,1
2.458,1.24,1.646,0.8651,-3.535,0.5966,0.9021,1
1.481,1.12,1.986,0.7957,-3.154,0.6043,0.9039,1
1.898,1.23,1.831,0.8116,-3.294,0.5928,0.9292,1
2.458,1.24,1.718,0.8617,-3.474,0.6007,0.8934,1
1.762,1.08,2.278,0.7429,-5.611,0.7248,0.9477,1
1.472,1.08,2.497,0.8308,-4.224,0.63,0.9275,1
1.348,1.09,1.775,0.792,-3.274,0.6061,0.9214,1
1.635,1.22,1.769,0.8078,-3.469,0.5963,0.9222,1
2.462,1.24,1.76,0.8572,-3.947,0.6144,0.8926,1
4.298,1.09,1.63,-0.2048,-24.05,0.8703,0.9538,1
1.993,1.11,1.94,0.8499,-4.073,0.6148,0.8907,1
1.771,1.1,1.715,0.8067,-3.409,0.5986,0.9049,1
1.986,1.09,1.536,0.7668,-4.053,0.6152,0.9292,1
1.723,1.09,1.592,0.7947,-3.474,0.6091,0.9057,1
1.981,1.11,1.496,0.8101,-3.095,0.5958,0.9065,1
1.752,1.09,2.215,0.7472,-5.518,0.7145,0.9541,1
2.477,1.23,1.7,0.8631,-3.643,0.5939,0.9027,1
1.349,1.12,1.918,0.7966,-3.166,0.6,0.8892,1
1.362,1.08,2.503,0.7496,-5.279,0.7165,0.9445,1
1.907,1.1,1.252,0.8051,-3.524,0.5955,0.9358,1
1.268,1.08,1.816,0.7859,-3.352,0.6044,0.9219,1
1.861,1.08,2.146,0.749,-5.454,0.7204,0.9491,1
1.716,1.22,1.695,0.8207,-2.964,0.5785,0.9454,1
1.833,1.09,2.494,0.8417,-4.366,0.6065,0.9325,1
1.324,1.09,1.798,0.6827,-4.066,0.71,0.9859,1
1.573,1.09,1.609,0.7889,-3.367,0.6124,0.9183,1
2.494,1.09,1.213,0.7361,-5.335,0.7227,0.9418,1
2.496,1.22,1.754,0.8565,-3.93,0.6074,0.9135,1
1.656,1.31,1.981,0.826,-3.179,0.5819,0.8683,1
1.908,1.1,1.83,0.799,-3.616,0.605,0.9327,1
2.293,1.24,1.674,0.8649,-3.632,0.605,0.8802,1
2.505,1.09,1.856,0.843,-4.131,0.604,0.9234,1
2.459,1.09,1.593,0.8296,-3.709,0.613,0.8886,1
1.815,1.09,1.8,0.7987,-3.656,0.5956,0.936,1
2.37,1.24,1.693,0.8642,-3.616,0.5986,0.8928,1
2.393,1.21,1.713,0.8534,-3.912,0.6061,0.9231,1
1.884,1.09,1.586,0.7876,-3.612,0.6125,0.9185,1
2.166,1.23,1.693,0.8577,-3.511,0.584,0.899,1
1.399,1.09,1.926,0.783,-3.708,0.6149,0.9467,1
1.887,1.08,1.569,0.7834,-3.653,0.6122,0.9542,1
2.454,1.22,1.663,0.8638,-3.735,0.6044,0.8993,1
1.528,1.1,1.957,0.8054,-3.242,0.5887,0.9401,1
2.099,1.09,1.842,0.75,-5.553,0.7094,0.9435,1
1.364,1.08,1.791,0.6886,-4.448,0.7087,0.9971,1
1.825,1.24,2.055,0.8634,-3.536,0.5935,0.8855,1
1.769,1.09,2.035,0.8279,-3.798,0.6132,0.9085,1
1.891,1.24,2.29,0.8603,-3.762,0.6066,0.8822,1
1.562,1.08,1.619,0.7947,-3.56,0.6105,0.9324,1
1.879,1.08,1.576,0.789,-3.385,0.6043,0.9318,1
2.45,1.09,1.911,0.8418,-4.257,0.6047,0.9033,1
2.521,1.23,1.798,0.8614,-3.728,0.6049,0.9047,1
2.372,1.09,1.503,0.8211,-4.084,0.6214,0.885,1
1.892,1.08,1.578,0.7897,-3.385,0.605,0.9353,1
2.523,1.23,1.73,0.8635,-3.634,0.6008,0.9027,1
1.743,1.22,1.437,0.818,-2.977,0.5795,0.9294,1
1.792,1.1,1.843,0.8036,-3.742,0.6078,0.918,1
2.157,1.09,1.805,0.8388,-4.151,0.6099,0.9236,1
1.727,1.22,1.888,0.8199,-3.09,0.588,0.9244,1
4.242,1.1,1.729,-0.06679,-20.38,0.8554,0.9662,1
1.768,1.09,1.28,0.7846,-3.241,0.5981,0.9255,1
2.471,1.1,1.866,0.8438,-3.935,0.5996,0.8966,1
1.882,1.11,1.272,0.8019,-3.725,0.6007,0.9284,1
1.544,1.08,1.598,0.7895,-3.497,0.6129,0.9373,1
2.393,1.11,1.713,0.8512,-3.992,0.6217,0.8808,1
2.161,1.09,1.561,0.8295,-4.017,0.6181,0.8977,1
2.469,1.08,1.568,0.8276,-3.803,0.6076,0.8916,1
1.995,1.09,1.862,0.8274,-3.716,0.6128,0.8796,1
1.744,1.09,2.055,0.8335,-4.013,0.618,0.8741,1
1.82,1.09,1.647,0.7665,-3.78,0.6244,0.9234,1
1.414,1.23,1.744,0.8191,-2.987,0.5845,0.943,1
2.492,1.09,1.61,0.8432,-4.185,0.6269,0.9031,1
1.974,1.09,1.714,0.7967,-3.723,0.5987,0.9467,1
2.109,1.22,1.817,0.8577,-3.487,0.5895,0.8766,1
2.021,1.08,1.404,0.7866,-3.425,0.6095,0.9147,1
1.499,1.31,1.778,0.8249,-3.094,0.5859,0.8891,1
1.957,1.23,1.695,0.8239,-2.973,0.5857,0.9213,1
2.325,1.24,1.701,0.861,-3.722,0.6,0.8914,1
2.26,1.09,1.651,0.8423,-4.499,0.6306,0.8924,1
1.678,1.24,2.495,0.8653,-3.622,0.5978,0.8925,1
1.747,1.09,1.615,0.7925,-3.197,0.6057,0.9335,1
1.861,1.22,2.273,0.8562,-4.086,0.6125,0.8952,1
2.469,1.23,1.69,0.8619,-3.522,0.5895,0.9169,1
1.815,1.12,1.636,0.7872,-3.301,0.6046,0.9041,1
1.865,1.23,1.752,0.8211,-2.862,0.5753,0.9472,1
4.264,1.09,1.584,-0.03702,-20.61,0.8562,0.9707,1
2.397,1.22,1.721,0.8507,-3.684,0.6013,0.8904,1
2.445,1.1,1.887,0.8463,-3.863,0.5986,0.9167,1
1.939,1.08,1.918,0.8012,-3.622,0.5863,0.9328,1
1.852,1.1,2.052,0.8441,-3.918,0.6054,0.9168,1
2.503,1.23,1.717,0.862,-3.755,0.6069,0.8933,1
1.576,1.22,1.668,0.8216,-3.038,0.5824,0.9275,1
1.589,1.1,1.607,0.7905,-3.184,0.6091,0.9252,1
1.966,1.1,1.697,0.8027,-3.605,0.5905,0.9128,1
1.875,1.08,1.221,0.7896,-3.47,0.602,0.9178,1
2.499,1.24,1.728,0.8613,-3.481,0.6005,0.8929,1
1.625,1.09,1.789,0.7867,-3.262,0.5994,0.9311,1
1.593,1.09,2.528,0.8388,-4.079,0.621,0.9156,1
1.899,1.09,1.24,0.7991,-3.92,0.6055,0.9378,1
1.98,1.09,0.9551,0.6935,-4.063,0.7065,0.9856,1
2.019,1.08,1.377,0.7864,-3.574,0.6125,0.9054,1
2.238,1.09,1.521,0.7511,-4.231,0.6982,0.8935,1
0.9084,1.09,1.644,0.6252,-5.886,0.6922,0.9469,1
0.7402,0.91,1.478,0.5309,-14,0.7117,0.9923,1
1.568,0.93,1.049,0.627,-4.917,0.666,0.7763,1
1.287,1.09,1.438,0.6649,-3.126,0.6517,0.7865,1
0.9883,1.09,1.824,0.7353,-3.096,0.6248,0.7819,1
1.331,1.22,1.691,0.8015,-2.844,0.5865,0.8987,1
1.3,1.06,1.846,0.7885,-3.878,0.6164,0.9312,1
1.897,1.21,1.33,0.8101,-3.114,0.6006,0.9329,1
1.439,1.21,1.705,0.8222,-3.099,0.5852,0.9203,1
2.246,1.1,1.779,0.8438,-3.939,0.5996,0.9034,1
2,1.1,1.953,0.843,-4.074,0.6085,0.9094,1
2.491,1.24,1.676,0.8664,-3.356,0.5923,0.9085,1
1.643,1.08,1.57,0.7897,-3.238,0.5978,0.9348,1
1.966,1.21,1.745,0.813,-3.14,0.5815,0.9267,1
2.267,1.22,1.676,0.8567,-3.598,0.5892,0.9286,1
2.519,1.11,1.702,0.8513,-3.851,0.6199,0.8843,1
1.609,1.09,1.588,0.772,-4.107,0.6235,0.9427,1
2.009,1.11,1.508,0.8022,-3.32,0.6052,0.8722,1
1.695,1.22,1.638,0.8248,-2.881,0.5796,0.9221,1
1.938,1.1,1.078,0.695,-3.991,0.694,0.9963,1
1.923,1.09,1.415,0.7847,-3.606,0.6083,0.9404,1
1.801,1.09,2.508,0.8437,-3.92,0.6038,0.9417,1
1.63,1.12,1.426,0.7925,-3.214,0.6078,0.8972,1
1.637,1.24,2.465,0.8651,-3.435,0.597,0.8937,1
1.685,1.08,1.601,0.7802,-3.582,0.6075,0.957,1
1.956,1.31,1.752,0.8307,-3.075,0.5764,0.9123,1
2.104,1.22,1.738,0.8601,-3.495,0.5914,0.9174,1
2.354,1.08,1.586,0.8321,-3.869,0.619,0.8973,1
1.962,1.22,1.735,0.8173,-3.002,0.5824,0.937,1
1.584,1.08,2.407,0.8264,-3.827,0.6076,0.8979,1
1.751,1.09,1.401,0.7005,-4.104,0.691,0.9806,1
1.611,1.22,2.399,0.8395,-4.018,0.6275,0.9056,1
1.618,1.09,1.465,0.79,-3.112,0.6006,0.9221,1
2.479,1.09,1.415,0.7524,-5.046,0.7163,0.9444,1
1.839,1.08,2.204,0.8358,-4.125,0.6249,0.9094,1
1.59,1.08,1.746,0.7912,-3.334,0.6084,0.9419,1
1.525,1.09,2.305,0.7477,-5.471,0.7244,0.9382,1
1.376,1.09,1.673,0.7903,-3.079,0.5994,0.9259,1
1.791,1.09,1.182,0.7617,-4.111,0.6257,0.9396,1
1.924,1.23,1.577,0.8081,-3.198,0.5903,0.9254,1
1.499,1.21,1.616,0.8081,-3.115,0.5984,0.9492,1
2.394,1.09,1.683,0.833,-4.452,0.6368,0.8978,1
1.718,1.08,1.592,0.7823,-4.312,0.6138,0.9275,1
1.579,1.09,2.189,0.7478,-5.121,0.7204,0.9455,1
1.229,1.09,1.819,0.6873,-3.804,0.6957,0.9989,1
1.982,1.1,1.536,0.7814,-3.952,0.6061,0.8894,1
1.989,1.12,1.023,0.7026,-4.003,0.6937,0.9709,1
1.91,1.09,1.379,0.7644,-3.837,0.6249,0.941,1
2.511,1.1,1.602,0.8436,-3.654,0.6071,0.8862,1
2.022,1.1,1.616,0.7964,-3.955,0.6128,0.9219,1
2.526,1.09,1.517,0.8354,-4.134,0.632,0.9206,1
1.455,1.09,1.937,0.8042,-3.123,0.5911,0.8957,1
2.371,1.09,1.59,0.8388,-4,0.6207,0.9139,1
2.411,1.22,1.75,0.8577,-3.672,0.5997,0.9171,1
2.229,1.22,1.63,0.8559,-4.145,0.6203,0.8919,1
1.562,1.24,1.63,0.8206,-2.635,0.5801,0.885,1
2.193,1.24,1.642,0.8635,-3.551,0.6011,0.8952,1
2.504,1.1,1.861,0.8455,-3.983,0.604,0.9079,1
1.285,1.09,1.746,0.7834,-3.348,0.6039,0.9338,1
1.581,1.08,2.501,0.8301,-3.951,0.6172,0.9083,1
1.09,1.08,1.957,0.6941,-4.36,0.7013,0.9941,1
1.61,1.09,2.504,0.8369,-4.184,0.6291,0.897,1
1.369,1.08,1.7,0.7882,-3.478,0.6064,0.9185,1
2.511,1.1,1.919,0.846,-3.934,0.6008,0.9004,1
2.482,1.11,1.635,0.8432,-4.139,0.6251,0.9014,1
1.6,1.08,1.795,0.7853,-3.445,0.6119,0.9116,1
2.048,1.09,1.902,0.7491,-5.177,0.7204,0.9459,1
1.809,1.22,1.899,0.8132,-3.448,0.5917,0.9472,1
2.407,1.09,1.6,0.8369,-4.19,0.6235,0.9023,1
1.721,1.22,2.304,0.8618,-3.95,0.609,0.8789,1
2.492,1.22,1.646,0.8614,-3.778,0.6,0.9185,1
1.918,1.21,1.395,0.8083,-2.752,0.5898,0.9433,1
1.583,1.09,2.244,0.82,-4.835,0.6402,0.901,1
2.001,1.22,1.595,0.8274,-2.811,0.5808,0.9167,1
1.633,1.24,2.428,0.8647,-3.8,0.6049,0.8969,1
2.507,1.12,1.423,0.7584,-4.816,0.712,0.9227,1
2.017,1.17,1.951,0.845,-3.879,0.6053,0.8559,1
2.541,1.09,1.217,0.7474,-5.514,0.7215,0.9442,1
2.449,1.24,1.75,0.8621,-3.81,0.6132,0.8793,1
1.982,1.1,1.278,0.7016,-3.83,0.7044,0.9752,1
1.921,1.08,1.199,0.7867,-3.544,0.6145,0.9298,1
1.637,1.24,2.21,0.8619,-3.632,0.5959,0.8869,1
1.954,1.23,1.709,0.8238,-2.896,0.5799,0.9121,1
2.246,1.22,1.679,0.8569,-4.02,0.6021,0.9041,1
1.756,1.22,1.359,0.8182,-2.953,0.5878,0.9075,1
2.387,1.23,1.69,0.8606,-3.403,0.5872,0.9218,1
2.51,1.22,1.665,0.8554,-3.58,0.6023,0.8832,1
