 Length, Height, Width, Omnivariance, Class
2.493,1.48,2.009,0.2114,1
2.335,1.47,2.006,0.1869,1
1.38,1.46,2.253,0.127,1
1.323,1.45,2.1,0.1362,1
1.824,1.46,2.226,0.1489,1
1.82,1.47,2.229,0.156,1
1.463,1.61,2.417,0.1525,1
1.627,1.61,2.375,0.1604,1
2.221,1.44,2.109,0.1613,1
2.673,1.45,1.731,0.1831,1
2.721,1.43,1.706,0.1799,1
2.874,1.59,1.72,0.2012,1
2.85,1.42,1.703,0.2055,1
2.497,1.41,2.179,0.195,1
3.013,1.42,1.782,0.2116,1
2.975,1.41,2.167,0.2221,1
1.427,1.21,1.704,0.1382,1
2.102,1.22,1.775,0.1656,1
1.629,1.09,1.972,0.1293,1
1.545,1.09,2.261,0.1254,1
2.446,1.08,1.715,0.1544,1
1.266,1.09,1.745,0.1277,1
1.842,1.09,1.649,0.1216,1
1.967,1.09,1.739,0.1304,1
2.039,1.21,1.713,0.1419,1
2.409,1.08,1.692,0.1585,1
2.396,1.22,1.711,0.1612,1
1.956,1.23,1.925,0.1619,1
2.229,1.23,1.834,0.1652,1
2.371,1.23,1.688,0.1671,1
1.756,1.22,1.668,0.1435,1
1.718,1.24,2.355,0.1662,1
2.262,1.22,1.672,0.1601,1
1.977,1.09,1.576,0.1211,1
1.929,1.08,1.602,0.1299,1
2.498,1.24,1.701,0.1676,1
2.289,1.1,1.572,0.1513,1
1.649,1.22,2.464,0.1667,1
1.453,1.09,1.761,0.1313,1
1.594,1.09,2.539,0.1614,1
2.393,1.18,1.7,0.1598,1
1.44,1.31,1.834,0.1444,1
1.446,1.09,2.399,0.1265,1
1.605,1.22,1.942,0.1388,1
1.651,1.22,2.388,0.1634,1
1.946,1.12,1.339,0.1297,1
2.409,1.12,1.494,0.1507,1
2.402,1.09,1.945,0.155,1
2.525,1.21,1.684,0.1629,1
1.571,1.08,1.605,0.1316,1
1.862,1.09,1.595,0.13,1
2.431,1.1,1.623,0.1508,1
1.597,1.1,1.49,0.1323,1
2.168,1.1,1.674,0.1567,1
1.476,1.09,1.906,0.133,1
1.662,1.22,2.236,0.1673,1
1.521,1.08,1.611,0.1294,1
1.935,1.08,1.642,0.126,1
1.779,1.2,1.362,0.1414,1
1.814,1.08,1.383,0.1337,1
1.944,1.1,1.692,0.1314,1
1.583,1.08,1.86,0.1279,1
2.417,1.22,1.758,0.1654,1
2.398,1.23,1.649,0.1633,1
1.892,1.24,2.16,0.1677,1
1.402,1.1,2.455,0.123,1
1.969,1.09,1.602,0.1292,1
1.646,1.22,2.333,0.1601,1
2.496,1.23,1.779,0.1663,1
1.967,1.21,1.973,0.1667,1
1.813,1.1,1.598,0.1336,1
1.696,1.22,2.432,0.1633,1
2.507,1.21,1.743,0.1613,1
1.899,1.09,1.832,0.1343,1
1.352,1.09,2.428,0.122,1
0.9117,0.91,1.791,0.07881,1
1.045,0.9,1.652,0.06848,1
1.645,1.22,1.921,0.1291,1
1.646,1.1,2.084,0.1161,1
1.926,1.09,1.919,0.1486,1
1.731,1.31,2.031,0.1455,1
2.108,1.22,1.843,0.1618,1
1.874,1.21,1.519,0.1405,1
1.685,1.22,2.469,0.1642,1
2.202,1.08,1.621,0.1497,1
1.833,1.09,2.512,0.1542,1
1.574,1.22,2.537,0.1579,1
1.528,1.09,1.6,0.1287,1
1.739,1.1,2.487,0.1568,1
1.89,1.09,1.246,0.1333,1
1.842,1.09,1.832,0.131,1
2.473,1.21,1.675,0.1643,1
2.496,1.21,1.725,0.1571,1
2.466,1.11,1.556,0.1495,1
2.457,1.22,1.718,0.1661,1
