Length, Height, Width, Sum, Omnivariance, Eigenentropy, Anisotropy, Class
1.659,1.28,1.906,0.5742,0.1697,0.8851,-2.421,1
1.416,1.27,1.642,0.5717,0.1692,0.8849,-2.395,1
2.008,1.27,1.714,0.6042,0.176,0.8903,-2.576,1
2.065,1.14,1.595,0.5754,0.1691,0.882,-2.479,1
2.002,1.27,1.631,0.5963,0.1653,0.8626,-3.555,1
1.634,1.27,1.507,0.5781,0.1679,0.879,-2.746,1
1.902,1.28,1.724,0.5836,0.1716,0.8874,-2.496,1
1.846,1.28,1.501,0.5808,0.1716,0.888,-2.397,1
1.49,1.27,1.576,0.5552,0.1649,0.8768,-2.323,1
1.808,1.12,1.715,0.5503,0.1645,0.8794,-2.232,1
1.723,1.27,2.66,0.6792,0.1901,0.8994,-3.366,1
1.539,1.27,1.781,0.5753,0.1646,0.8698,-3.015,1
1.56,1.29,2.54,0.6454,0.183,0.8924,-3.034,1
1.936,1.29,1.763,0.5737,0.1716,0.8913,-2.2,1
1.668,1.3,1.834,0.5738,0.1696,0.8851,-2.404,1
1.917,1.27,1.551,0.5817,0.1621,0.8618,-3.573,1
2.009,1.29,1.745,0.6116,0.1773,0.8923,-2.705,1
1.702,1.29,1.966,0.589,0.1726,0.8887,-2.574,1
1.762,1.29,1.56,0.5841,0.1671,0.8713,-2.915,1
1.673,1.27,2.46,0.6387,0.1782,0.8845,-3.485,1
1.534,1.28,1.714,0.6088,0.179,0.8991,-2.478,1
2.074,1.27,1.794,0.6015,0.1758,0.8918,-2.561,1
1.864,1.29,1.499,0.5716,0.1705,0.8885,-2.253,1
1.936,1.14,1.513,0.5756,0.1694,0.8825,-2.438,1
2.061,1.14,1.619,0.5751,0.1693,0.8823,-2.439,1
1.472,1.29,1.855,0.5699,0.1699,0.8876,-2.26,1
2.107,1.14,1.646,0.5686,0.1667,0.8789,-2.575,1
2.123,1.14,1.64,0.5708,0.167,0.8764,-2.541,1
2.265,1.27,1.679,0.6032,0.1777,0.8972,-2.438,1
2.056,1.28,1.678,0.5957,0.1688,0.8755,-3.203,1
1.506,1.28,1.806,0.5843,0.1686,0.8794,-2.868,1
1.847,1.3,1.704,0.5695,0.1701,0.8874,-2.214,1
2.5,1.3,1.699,0.6716,0.1899,0.9007,-3.101,1
1.624,1.28,1.611,0.5934,0.1746,0.8918,-2.467,1
1.816,1.27,1.553,0.5828,0.1717,0.8862,-2.412,1
1.735,1.28,2.037,0.6039,0.176,0.8906,-2.574,1
1.698,1.28,1.972,0.5645,0.1641,0.8719,-2.726,1
1.677,1.28,1.9,0.5706,0.1683,0.8831,-2.464,1
1.431,1.28,1.649,0.5582,0.1674,0.8844,-2.17,1
1.417,1.28,1.783,0.5598,0.1676,0.8845,-2.205,1
1.561,1.28,1.523,0.5812,0.1716,0.8883,-2.438,1
2.002,1.28,1.55,0.6048,0.1773,0.896,-2.541,1
2.007,1.28,1.744,0.5823,0.1652,0.8707,-3.207,1
1.778,1.28,2.103,0.5932,0.1748,0.892,-2.41,1
1.735,1.28,1.498,0.5841,0.1625,0.8598,-3.533,1
1.981,1.14,1.536,0.5685,0.1668,0.8794,-2.568,1
1.51,1.14,1.899,0.5767,0.1702,0.8857,-2.438,1
1.675,1.28,2.099,0.5786,0.1621,0.8619,-3.429,1
2.125,1.14,1.653,0.5742,0.1689,0.8818,-2.456,1
2.15,1.29,1.634,0.5906,0.1719,0.8815,-2.506,1
1.733,1.29,1.568,0.627,0.1803,0.8941,-2.843,1
1.924,1.28,1.719,0.576,0.1705,0.8871,-2.387,1
1.428,1.28,1.621,0.5615,0.1662,0.8798,-2.411,1
1.451,1.28,1.797,0.5626,0.168,0.885,-2.248,1
1.694,1.14,2.118,0.5808,0.1718,0.888,-2.366,1
1.573,1.28,1.671,0.5961,0.1642,0.8604,-3.727,1
2.127,1.14,1.661,0.5764,0.17,0.885,-2.448,1
1.492,1.28,1.782,0.569,0.1687,0.884,-2.358,1
1.622,1.28,1.651,0.5846,0.1634,0.8634,-3.469,1
1.852,1.3,1.719,0.5759,0.1683,0.8814,-2.639,1
2.051,1.3,1.639,0.5931,0.1748,0.8922,-2.419,1
1.476,1.29,1.797,0.6148,0.1791,0.8959,-2.605,1
1.527,1.28,1.67,0.5888,0.1685,0.8763,-2.989,1
1.784,1.3,1.893,0.5656,0.169,0.8869,-2.235,1
1.626,1.28,2.06,0.5765,0.1646,0.8695,-3.059,1
2.027,1.29,1.678,0.6077,0.1759,0.8895,-2.744,1
1.89,1.28,1.549,0.5678,0.1714,0.891,-1.997,1
2.114,1.14,1.685,0.5694,0.1656,0.8756,-2.72,1
1.591,1.14,2.065,0.5765,0.1698,0.8826,-2.405,1
1.574,1.14,2.041,0.578,0.1689,0.8799,-2.557,1
1.511,1.28,1.959,0.5846,0.1673,0.8715,-2.903,1
1.626,1.29,2.142,0.5891,0.1715,0.8827,-2.593,1
1.665,1.32,1.966,0.6191,0.1842,0.9094,-2.238,1
1.635,1.27,2.053,0.5644,0.1602,0.8614,-3.197,1
2.103,1.29,1.729,0.5899,0.1759,0.8985,-2.262,1
1.697,1.29,1.935,0.5854,0.1718,0.8866,-2.508,1
1.503,1.28,1.879,0.5776,0.1694,0.883,-2.545,1
1.628,1.27,1.858,0.5908,0.1731,0.889,-2.548,1
1.693,1.28,2.056,0.5716,0.1689,0.8833,-2.399,1
2.053,1.28,1.639,0.5666,0.1646,0.8726,-2.724,1
1.66,1.13,2.117,0.57,0.1669,0.8789,-2.596,1
1.788,1.14,2.149,0.5966,0.1767,0.8979,-2.382,1
1.973,1.14,1.514,0.5763,0.1692,0.8813,-2.488,1
1.653,1.13,2.112,0.5619,0.167,0.8811,-2.311,1
1.525,1.14,1.767,0.5828,0.1698,0.8826,-2.68,1
1.719,1.27,2.076,0.5983,0.1722,0.8825,-2.854,1
1.657,1.14,2.148,0.5753,0.1692,0.8817,-2.456,1
1.875,1.28,1.492,0.5703,0.1613,0.8648,-3.293,1
2.1,1.14,1.713,0.5918,0.1745,0.8936,-2.465,1
1.803,1.27,1.62,0.5668,0.1685,0.8845,-2.321,1
1.447,1.31,1.879,0.6311,0.1871,0.9134,-2.313,1
1.706,1.27,1.622,0.5625,0.169,0.8872,-2.126,1
1.822,1.27,1.425,0.591,0.172,0.8839,-2.619,1
1.78,1.13,1.573,0.5734,0.1685,0.8802,-2.469,1
1.878,1.11,1.743,0.5514,0.1652,0.8805,-2.195,1
1.534,1.3,1.997,0.6029,0.1749,0.8905,-2.747,1
1.462,1.28,1.844,0.5869,0.1716,0.8869,-2.628,1
1.742,1.3,1.947,0.567,0.1698,0.8886,-2.194,1
1.641,1.27,2.062,0.5758,0.1671,0.8772,-2.756,1
2.015,1.27,1.703,0.5799,0.1711,0.8863,-2.421,1
1.736,1.3,1.906,0.577,0.1708,0.8872,-2.38,1
2.106,1.14,1.752,0.5937,0.1749,0.8933,-2.465,1
2.145,1.13,1.662,0.5763,0.1693,0.8821,-2.48,1
1.914,1.3,1.762,0.572,0.171,0.8896,-2.213,1
1.762,1.27,1.584,0.5748,0.1699,0.8856,-2.417,1
1.466,1.28,1.593,0.5744,0.1698,0.8854,-2.408,1
2.107,1.14,1.732,0.6125,0.1785,0.8976,-2.676,1
1.737,1.27,2.075,0.6037,0.174,0.885,-2.792,1
1.701,1.29,1.98,0.5955,0.1736,0.8894,-2.668,1
1.625,1.27,1.855,0.5632,0.1598,0.8617,-3.228,1
1.57,1.28,2.015,0.5982,0.1736,0.886,-2.671,1
1.665,1.28,1.634,0.5939,0.1725,0.8854,-2.686,1
1.563,1.28,1.491,0.568,0.1685,0.8844,-2.356,1
1.674,1.15,2.334,0.6138,0.1794,0.9007,-2.636,1
1.616,1.28,1.431,0.5672,0.1646,0.8736,-2.778,1
1.754,1.28,2.12,0.5874,0.1658,0.8688,-3.258,1
1.947,1.28,1.689,0.5671,0.1678,0.8822,-2.407,1
1.503,1.28,1.769,0.6211,0.1777,0.8885,-2.919,1
1.837,1.13,1.425,0.5528,0.1655,0.8809,-2.201,1
